pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
1 14.52072 14.2526 0.890664 14.78937 0.2756517 0
1 14.55688 14.22917 0.9376675 14.89229 0.4586757 0
1 14.65338 14.33154 1 14.98927 0.5281407 0
1 14.75152 14.52677 1 14.9893 0.5281407 0
1 14.98367 14.94215 1 15.0368 0.4100088 0
1 15.31211 15.28612 0.9220638 15.353 0.611105 0
1 15.37801 15.41848 0.9710999 15.35304 0.611105 0
1 15.56946 15.52451 0.9371122 15.63813 0.6250166 0
1 15.81459 15.73841 1 15.91941 0.7421582 0
1 15.93322 15.97855 0.9870934 15.91942 0.7421582 0
1 16.14917 16.21885 0.980776 16.10917 0.7080772 0
1 15.92309 16.21894 0.980776 15.66267 0.2536887 0
1 13.69572 11.73653 0.7287294 15.66267 0.2536887 0
1 13.69571 11.73653 0.7287294 15.66265 0.2536887 0
1 28.64707 7.080197 0.8486255 45.16573 0 0
1 28.64707 7.08028 0.8486255 45.16574 0 0
1 19.87236 29.83463 0 45.16571 0 0
1 19.87241 29.83468 0 45.16572 0 0
1 19.87244 29.83465 0 45.16574 0 0
1 19.8724 29.83467 0 45.16574 0 0
1 29.4322 6.559062 0.99 45.16573 0 0
1 29.43218 6.559092 0.99 45.16574 0 0
1 29.43218 6.559062 0.99 45.16574 0 0
1 29.43214 6.559092 0.99 45.1657 0 0
1 29.43218 6.559122 0.99 45.16572 0 0
1 29.4322 6.559092 0.99 45.16572 0 0
1 29.32127 7.011709 0.9824522 45.16573 0 0
1 29.32133 7.011765 0.9824522 45.16573 0 0
1 29.23341 7.034194 0.8991127 45.16573 0 0
1 29.23341 7.034249 0.8991127 45.16576 0 0
1 29.38829 5.622913 0.99 45.16577 0 0
1 29.38827 5.622913 0.99 45.16571 0 0
1 29.38829 5.623018 0.99 45.16574 0 0
1 29.38829 5.622913 0.99 45.16571 0 0
1 29.33047 5.459949 1 45.16571 0 0
1 29.33049 5.460021 1 45.16572 0 0
1 29.18633 5.890059 0.8379718 45.16573 0 0
1 29.18637 5.890059 0.8379718 45.16577 0 0
1 28.87221 6.897594 0.99 45.16572 0 0
1 28.87224 6.897509 0.99 45.16576 0 0
1 28.75866 7.194866 1 45.16574 0 0
1 28.75863 7.194811 1 45.16574 0 0
1 8.087599 7.498079 0.9302415 8.723595 0.6930164 0
1 8.087672 7.498183 0.9302415 8.723685 0.6930164 0
1 8.109562 7.219256 0.4371409 9.090272 0.6484497 0
1 8.109466 7.219121 0.4371409 9.09012 0.6484497 0
1 29.37268 5.72964 0.99 45.16575 0 0
1 29.37269 5.729605 0.99 45.16575 0 0
1 29.48483 5.316071 0.985655 45.16577 0 0
1 29.62951 5.022271 0.9198027 45.16574 0 0
1 29.62953 5.022271 0.9198027 45.16574 0 0
1 29.62944 5.022388 0.9198027 45.16571 0 0
1 29.78312 4.904326 0.94105 45.16574 0 0
1 29.78315 4.904326 0.94105 45.16575 0 0
1 4.933401 4.800977 0.9641318 5.191012 0.7108598 0
1 4.93348 4.801018 0.9641318 5.191012 0.7108598 0
1 4.682241 4.551694 0.9415501 5.038901 0.3783349 0
1 4.682158 4.551565 0.9415501 5.038707 0.3783349 0
1 4.293454 4.34902 0.711568 4.503109 0.2990434 0
1 4.293362 4.34902 0.711568 4.503022 0.2990434 0
1 4.083846 4.212451 0.8545961 4.229386 0.3556086 0
1 4.083893 4.212404 0.8545961 4.229433 0.3556086 0
1 3.983887 3.993167 0.9680744 4.229294 0.3556086 0
1 3.983937 3.993265 0.9680744 4.22934 0.3556086 0
1 3.972073 4.009855 0.8637094 4.095912 0.352115 0
1 3.972122 4.009904 0.8637094 4.096008 0.352115 0
1 4.045689 3.973009 1 4.246854 0.4647379 0
