FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 9 933.7792 0.162066 1.506495 -2.657776 359.8567 288.7938 3.368494 0.4788961 0.5304797 0.4914388 0.5144182 0.5366343 0.6479602 0.3749443 0.4085013 0.504051 0.5517251
2 9 933.7847 0.1620516 1.506523 -2.65774 359.8507 288.8063 3.359193 0.4788961 0.5304797 0.4914388 0.5144182 -1 -1 -1 -1 0.504051 0.5517251
3 9 933.799 0.1620511 1.506737 -2.657551 359.8324 288.9078 3.334312 0.4788961 0.5304797 0.4914388 0.5144182 -1 -1 -1 -1 0.504051 0.5517251
4 9 933.8159 0.1620369 1.506847 -2.657432 359.8204 288.9453 3.305315 0.4788961 0.5304797 0.4914388 0.5144182 -1 -1 -1 -1 0.504051 0.5517251
5 9 933.8273 0.16207 1.506848 -2.657414 359.7992 288.9684 3.283364 0.5196797 0.5078531 0.5211658 0.5018343 0.5066461 0.6620668 0.3928261 0.4316837 0.6543168 1
6 9 933.838 0.1620941 1.506925 -2.657376 359.7873 288.9922 3.264077 0.5196797 0.5078531 0.5211658 0.5018343 -1 -1 -1 -1 0.6543168 1
7 9 933.8493 0.1621985 1.507052 -2.657274 359.7646 289.0239 3.226671 0.5196797 0.5078531 0.5211658 0.5018343 -1 -1 -1 -1 0.6543168 1
8 9 933.86 0.1623398 1.507214 -2.657207 359.7398 289.0343 3.224478 0.5196797 0.5078531 0.5211658 0.5018343 -1 -1 -1 -1 0.6543168 1
9 9 933.8828 0.1624947 1.50744 -2.657098 359.7229 289.0429 3.192008 0.450212 0.5015386 0.4516677 0.5008108 0.5607773 0.6318851 0.3365482 0.4064941 0.99 0.9382474
10 9 933.9048 0.162804 1.507789 -2.657161 359.6269 289.0356 3.173524 0.450212 0.5015386 0.4516677 0.5008108 -1 -1 -1 -1 0.99 0.9382474
11 9 933.9271 0.1630675 1.508401 -2.657171 359.4271 289.0101 3.185889 0.4504858 0.5021171 0.4503973 0.5016066 0.560724 0.6323693 0.3357923 0.4054987 0.7319773 0.9607517
12 9 933.9493 0.1632486 1.509117 -2.657125 359.1333 288.9745 3.19495 0.4504858 0.5021171 0.4503973 0.5016066 -1 -1 -1 -1 0.7319773 0.9607517
13 9 933.9716 0.1634904 1.509685 -2.657084 358.7978 288.9389 3.159667 0.4508369 0.504695 0.449627 0.5028597 0.5611921 0.6341408 0.3355768 0.4043194 0.7038524 0.9183593
14 9 933.9937 0.1637677 1.510092 -2.65708 358.4517 288.9166 3.121552 0.4508369 0.504695 0.449627 0.5028597 -1 -1 -1 -1 0.7038524 0.9183593
15 9 934.0162 0.1640245 1.510503 -2.657168 358.2151 288.8978 3.107373 0.4510341 0.5041328 0.449641 0.5020419 0.5608675 0.6338753 0.335331 0.4049364 0.6169899 0.9061952
16 9 934.0384 0.1642572 1.51084 -2.657086 358.0766 288.9142 3.069179 0.4510341 0.5041328 0.449641 0.5020419 -1 -1 -1 -1 0.6169899 0.9061952
17 9 934.0605 0.1645789 1.511081 -2.656969 358.0154 288.945 3.023874 0.451982 0.501319 0.4495479 0.4978594 0.5592749 0.6325266 0.3339382 0.408057 0.6470577 0.7994197
18 9 934.0829 0.1651158 1.511223 -2.656995 358.028 289.0011 2.952174 0.451982 0.501319 0.4495479 0.4978594 -1 -1 -1 -1 0.6470577 0.7994197
19 9 934.1051 0.1654668 1.511543 -2.657017 358.0198 289.0533 2.865912 0.4524951 0.4987672 0.4490904 0.4939705 0.5581115 0.631148 0.332339 0.4108687 0.6759233 0.8416889
20 9 934.1269 0.1657816 1.511936 -2.656844 357.9501 289.0603 2.761879 0.4524951 0.4987672 0.4490904 0.4939705 -1 -1 -1 -1 0.6759233 0.8416889
21 9 934.1498 0.1659979 1.512405 -2.656756 357.7899 289.033 2.663844 0.4557727 0.5019284 0.4502779 0.4950294 0.5563769 0.634555 0.3336207 0.4104295 0.8549144 0.9795867
22 9 934.1713 0.1663088 1.513091 -2.656854 357.5526 289.022 2.533962 0.4557727 0.5019284 0.4502779 0.4950294 -1 -1 -1 -1 0.8549144 0.9795867
23 9 934.1936 0.1665533 1.513669 -2.656773 357.3004 288.9843 2.359764 0.4786945 0.5197827 0.471877 0.5043123 0.5430551 0.6549498 0.3537262 0.4105671 0.8192928 0.8299617
24 9 934.2159 0.166648 1.514297 -2.656739 357.0483 289.0167 2.236571 0.4786945 0.5197827 0.471877 0.5043123 -1 -1 -1 -1 0.8192928 0.8299617
25 9 934.2383 0.1668366 1.514933 -2.656562 356.7545 289.0014 2.20673 0.5189269 0.5323111 0.5130073 0.5239123 0.5144298 0.6766369 0.3925416 0.4121685 0.7958629 0.8402424
26 9 934.2603 0.1671333 1.515457 -2.656488 356.4714 289.0414 2.189692 0.5189269 0.5323111 0.5130073 0.5239123 -1 -1 -1 -1 0.7958629 0.8402424
27 9 934.2828 0.1671851 1.515877 -2.656403 356.2267 289.0708 2.164427 0.5191179 0.529143 0.5120565 0.5195321 0.5133429 0.6748029 0.3905337 0.4148944 0.796334 0.9795598
