FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 48.54926 0.0838948 1.630496 -2.140433 7.465567 6.013922 0.3693259 0.4870402 0.5095436 0.4796391 0.5009972 -1 -1 0.4638013 0.5419266 0.8252007 0.4877352
2 1 48.56787 0.0839712 1.630596 -2.140322 7.430872 6.025489 0.3322614 0.4875818 0.5094828 0.4796391 0.5009972 0.3780026 0.6957239 -1 -1 0.753131 0.4877352
3 1 48.59226 0.08454186 1.631953 -2.138883 6.77058 6.281537 359.9621 0.487783 0.5090457 0.4768046 0.5005884 0.3775903 0.6954703 0.4614083 0.5414723 0.6173905 0.6943366
4 1 48.60323 0.08456424 1.632186 -2.13861 6.6567 6.344777 359.9147 0.4882831 0.5087807 0.4768046 0.5005884 0.3769543 0.6955014 -1 -1 0.7084376 0.6943366
5 1 48.60783 0.08466451 1.632272 -2.138535 6.58871 6.383492 359.8585 0.4882831 0.5087807 0.4768046 0.5005884 -1 -1 -1 -1 0.7084376 0.6943366
6 1 48.61946 0.08470041 1.632443 -2.13841 6.506009 6.41693 359.8022 0.4882831 0.5087807 0.4768046 0.5005884 -1 -1 -1 -1 0.7084376 0.6943366
7 1 48.63066 0.08468395 1.632541 -2.13823 6.427315 6.43116 359.735 0.4881233 0.5090518 0.4742693 0.4986792 0.377246 0.6956417 0.458563 0.542639 0.7012761 0.7709492
8 1 48.64172 0.08449475 1.632698 -2.137997 6.374145 6.45319 359.6692 0.4881233 0.5090518 0.4742693 0.4986792 -1 -1 -1 -1 0.7012761 0.7709492
9 1 48.65226 0.08440454 1.632716 -2.137812 6.316323 6.458789 359.6307 0.4881233 0.5090518 0.4742693 0.4986792 -1 -1 -1 -1 0.7012761 0.7709492
10 1 48.66486 0.08436783 1.632763 -2.137578 6.292885 6.469522 359.6091 0.4873192 0.507923 0.4727596 0.4978393 0.3775305 0.6943387 0.4569861 0.5430259 0.8398715 0.8036768
11 1 48.67456 0.0842964 1.632798 -2.13744 6.267972 6.475313 359.6276 0.4873192 0.507923 0.4727596 0.4978393 -1 -1 -1 -1 0.8398715 0.8036768
12 1 48.68674 0.08424221 1.63285 -2.137251 6.228144 6.479228 359.6321 0.4864296 0.5053979 0.4722016 0.4970611 0.3772346 0.6918666 0.45619 0.543647 0.7418983 0.7048632
13 1 48.69711 0.084153 1.632938 -2.137093 6.196991 6.491416 359.6766 0.4864296 0.5053979 0.4722016 0.4970611 -1 -1 -1 -1 0.7418983 0.7048632
