FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 3 364.226 -0.3296621 1.641562 -1.888253 22.41421 9.169028 4.364486 0.5575801 0.3646529 0.5707837 0.3527458 -1 -1 -1 -1 0.7495377 0.4506025
2 3 364.2319 -0.3296517 1.641541 -1.888294 22.43856 9.170936 4.40208 0.5575801 0.3646529 0.542188 0.4934393 -1 -1 0.4351475 0.5551407 0.7495377 0.9113626
3 3 364.2393 -0.3294207 1.641405 -1.888702 22.48558 9.128609 4.397295 0.5575801 0.3646529 0.542188 0.4934393 -1 -1 -1 -1 0.7495377 0.9113626
4 3 364.268 -0.3294557 1.641435 -1.888874 22.51658 9.091614 4.369019 0.5480508 0.5061722 0.5422361 0.4937071 0.3596481 0.6088218 0.4353232 0.5549198 0.7803614 0.9351425
5 3 364.2902 -0.3293072 1.641474 -1.889102 22.4943 9.077252 4.385768 0.5480508 0.5061722 0.5422361 0.4937071 -1 -1 -1 -1 0.7803614 0.9351425
6 3 364.3129 -0.3291063 1.64154 -1.88948 22.48169 9.076633 4.405001 0.5468699 0.5049053 0.5434496 0.4943692 0.3600926 0.6074709 0.4368653 0.5550345 0.6668167 0.9647681
7 3 364.324 -0.3289688 1.64158 -1.88985 22.46409 9.077713 4.404197 0.5468699 0.5049053 0.543885 0.4923871 -1 -1 0.4363657 0.557151 0.6668167 0.4405714
8 3 364.3568 -0.3287393 1.641904 -1.890624 22.3604 9.104537 4.367961 0.5363161 0.5113903 0.490449 0.4634039 0 1 0 1 0 0
9 3 364.379 -0.3286898 1.642166 -1.89114 22.27211 9.110972 4.375309 0.5363161 0.5113903 0.490449 0.4634039 0 1 0 1 0 0
10 3 364.4011 -0.3284761 1.642246 -1.891718 22.2319 9.06404 4.378208 0.5363161 0.5113903 0.6198066 0.3349254 0 1 0.3999946 0.8360075 0 0.4248936
11 3 364.4234 -0.3284336 1.642306 -1.892186 22.2156 9.043644 4.383802 0.5363161 0.5113903 0.490449 0.4634039 0 1 0 1 0 0
12 3 364.446 -0.3283361 1.642344 -1.892606 22.16121 9.005664 4.365086 0.5363161 0.5113903 0.4717613 0.4978735 -1 -1 0.3663031 0.5149821 0 0.6315327
13 3 364.4677 -0.3281668 1.642362 -1.893266 22.14264 8.961193 4.332283 0.5055175 0.5014254 0.486392 0.5267393 0.3919701 0.5885005 0.3941734 0.4964791 0.5089327 0.5839323
14 3 364.4899 -0.3280582 1.642398 -1.893918 22.13752 8.926856 4.336662 0.4982475 0.5106794 0.4866836 0.52602 0.4014511 0.5920463 0.3941449 0.4972222 0.4811272 0.3993503
15 3 364.5127 -0.327955 1.642491 -1.894483 22.11001 8.899273 4.348 0.5001661 0.5115424 0.486646 0.5251529 0.4002748 0.5934303 0.393724 0.4979393 0.3487521 0.4269471
16 3 364.5342 -0.3278033 1.64251 -1.895196 22.09785 8.890204 4.362976 0.5001661 0.5115424 0.486646 0.5251529 -1 -1 -1 -1 0.3487521 0.4269471
17 3 364.5565 -0.3276389 1.64254 -1.895885 22.07985 8.872693 4.350486 0.4993174 0.5125951 0.4882181 0.5223012 0.4013649 0.5938205 0.3940167 0.5010943 0.4747972 0.3870717
18 3 364.5794 -0.3276945 1.642571 -1.896685 22.06264 8.886631 4.368011 0.4990003 0.5115709 0.489423 0.520023 0.4012094 0.5929762 0.3941957 0.5036053 0.5394625 0.4179408
19 3 364.6012 -0.3273607 1.642535 -1.897387 22.07906 8.883519 4.385527 0.4973531 0.5151747 0.4899694 0.5190541 0.4039398 0.5948212 0.3943045 0.5046931 0.4659285 0.3888555
20 3 364.6231 -0.3271978 1.642555 -1.898134 22.06091 8.87312 4.38882 0.4969732 0.5147743 0.4906057 0.518667 0.4040821 0.5943872 0.394764 0.5053248 0.3819868 0.51485
21 3 364.6455 -0.3270206 1.642572 -1.898791 22.04221 8.880688 4.369118 0.4953193 0.5162693 0.4912119 0.5185604 0.4059783 0.5947555 0.3953199 0.5057019 0.4767765 0.4196934
22 3 364.6675 -0.3268569 1.642607 -1.899632 22.00924 8.883066 4.337425 0.4944628 0.517785 0.4917299 0.5179788 0.4072499 0.5954621 0.3955744 0.5064471 0.5546748 0.5116588
23 3 364.6903 -0.3266576 1.642785 -1.900408 21.98771 8.896616 4.352813 0.4933862 0.5196591 0.4918194 0.5172945 0.4088328 0.5963277 0.3953552 0.5070794 0.732913 0.4424328
24 3 364.7124 -0.3265212 1.642825 -1.901153 21.96007 8.884887 4.363818 0.4921786 0.5205253 0.4913762 0.5149206 0.4101227 0.5964374 0.3938383 0.5089232 0.7074298 0.3117997
25 3 364.7344 -0.3263563 1.642897 -1.90198 21.94167 8.864273 4.346536 0.4805419 0.4762639 0.4695477 0.4605327 0.4015095 0.5601402 0.3447369 0.5491471 0 0.499869
26 3 364.7572 -0.3262539 1.642904 -1.902809 21.94008 8.868671 4.247145 0.4810677 0.4813936 0.4809293 0.449453 0.4032081 0.5640938 0.3501478 0.5653381 0.5547588 0.99
27 3 364.7787 -0.3260598 1.642866 -1.90372 21.95842 8.877702 4.194085 0.4810677 0.4813936 0.4809293 0.449453 -1 -1 -1 -1 0.5547588 0.99
28 3 364.8015 -0.3258579 1.642853 -1.904593 21.94243 8.93738 4.268229 0.4848025 0.469165 0.4816087 0.4494046 0.3952017 0.5566835 0.3508176 0.5656984 0.3808581 0.8852741
