pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
3 21.56798 16.70039 0 26.33082 0.5161861 0
3 25.31301 24.8398 0.4985291 26.33083 0.5161861 0
3 25.59855 23.14787 0.8879345 28.31039 0.525999 0
3 16.98121 16.70021 0 18.69044 0 0
3 21.27669 16.70027 0 25.7803 0.6161218 0
3 20.90871 17.50819 0.5564548 24.63504 0.6001826 0
3 20.90871 17.5082 0.5564548 24.63494 0.6001826 0
3 20.7009 16.70028 0 24.63505 0.6001826 0
3 20.70079 16.70021 0 24.63501 0.6001826 0
3 17.62213 13.29795 0.5892524 22.12865 0.8659479 0
3 17.62215 13.29794 0.5892524 22.12867 0.8659479 0
3 17.62221 13.29804 0.5892524 22.12867 0.8659479 0
3 18.62746 15.28111 0.6423655 22.12871 0.8659479 0
3 18.62715 15.28085 0.6423655 22.12848 0.8659479 0
3 16.42046 14.47415 0.8946491 18.62765 0 0
3 16.42043 14.47412 0.8946491 18.62757 0 0
3 15.97487 14.00044 0.7434583 18.21021 1 0
3 15.97489 14.00051 0.7434583 18.21019 1 0
3 15.97494 14.00044 0.7434583 18.21025 1 0
3 15.61165 13.69316 0.5712891 17.8159 0.9680442 0
3 15.61172 13.69336 0.5712891 17.81595 0.9680442 0
3 15.26169 13.50328 0.7223199 17.33623 0.8545211 0
3 15.26174 13.50335 0.7223199 17.33623 0.8545211 0
3 15.2618 13.50348 0.7223199 17.33624 0.8545211 0
3 15.11643 13.27086 0.5473135 17.25014 0.7927374 0
3 15.1161 13.27058 0.5473135 17.24988 0.7927374 0
3 14.85808 12.94283 0.6081184 18.69035 0 0
3 14.85814 12.9429 0.6081184 18.69029 0 0
3 14.85816 12.9429 0.6081184 18.6904 0 0
3 16.98108 16.70019 0 18.69025 0 0
3 16.98116 16.70009 0 18.6903 0 0
3 9.200392 6.788303 0.7924002 11.77477 0.7208337 0
3 9.200307 6.788303 0.7924002 11.7747 0.7208337 0
3 9.418138 6.931379 0.8279974 12.08335 0.8216957 0
3 9.418138 6.931351 0.8279974 12.08333 0.8216957 0
3 9.4182 6.931407 0.8279974 12.08335 0.8216957 0
3 9.570436 7.033692 0.8127918 12.29223 0.8139088 0
3 9.57023 7.033525 0.8127918 12.29204 0.8139088 0
3 9.676196 7.147373 0.6988877 12.37854 0.6822361 0
3 9.675993 7.147236 0.6988877 12.37843 0.6822361 0
3 10.06949 7.463507 0.5228204 12.81376 0.5934018 0
3 10.06955 7.463717 0.5228204 12.81383 0.5934018 0
3 10.5017 7.881473 0.664896 13.2414 0.4651696 0
3 10.50193 7.881697 0.664896 13.24168 0.4651696 0
3 10.75135 8.380494 0.5946093 13.2417 0.4651696 0
3 10.96844 8.380355 0.5946093 13.68454 0.43305 0
3 10.9685 8.380378 0.5946093 13.68456 0.43305 0
3 11.37139 8.738533 0.4201858 14.09051 0.5644165 0
3 11.37122 8.738354 0.4201858 14.09036 0.5644165 0
3 11.65273 9.26391 0.5027672 14.14605 0.4846877 0
3 11.65254 9.26372 0.5027672 14.1458 0.4846877 0
3 11.65258 9.263699 0.5027672 14.14586 0.4846877 0
3 11.55638 9.072248 0.5229985 14.17983 0.7919294 0
3 11.55625 9.07214 0.5229985 14.1797 0.7919294 0
3 11.49766 8.965522 0.5116941 14.22596 0.7550039 0
3 11.49756 8.965477 0.5116941 14.22579 0.7550039 0
3 11.3796 8.773486 0.4715187 14.27144 0.8614936 0
3 11.37955 8.773441 0.4715187 14.27137 0.8614936 0
3 11.09782 8.490008 0.5491811 14.02804 0.9552855 0
3 11.09785 8.490008 0.5491811 14.02798 0.9552855 0
3 10.79386 8.489869 0.5491811 13.37721 0.5568861 0
