pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
3 16.97581 12.67548 0.8529367 21.20117 0.2896225 0
3 16.97575 12.6754 0.8529367 21.2011 0.2896225 0
3 30.72939 30.20665 0 34.98942 0 0
3 30.72932 30.2066 0 34.98929 0 0
3 30.72938 30.20662 0 34.98941 0 0
3 24.72111 17.62091 0.5963032 34.98948 0 0
3 24.72124 17.621 0.5963032 34.98956 0 0
3 20.38502 5.755 0.6843889 34.98947 0 0
3 20.38487 5.755 0.6843889 34.98933 0 0
3 30.72939 30.20661 0 34.98938 0 0
3 30.72945 30.20665 0 34.98942 0 0
3 30.72936 30.20661 0 34.98936 0 0
3 30.7294 30.20665 0 34.98941 0 0
3 25.73934 30.20665 0 22.67292 0.3670362 0
3 25.73936 30.20667 0 22.67291 0.3670362 0
3 30.72948 30.20669 0 34.98949 0 0
3 30.72941 30.20667 0 34.98939 0 0
3 22.0062 12.7524 0.3371937 34.98943 0 0
3 22.00625 12.75244 0.3371937 34.98954 0 0
3 13.17066 8.704479 0.4928166 18.146 0.7285522 0
3 13.17071 8.704525 0.4928166 18.14602 0.7285522 0
3 23.02417 15.52928 0.4846932 34.98938 0 0
3 23.02417 15.52929 0.4846932 34.98942 0 0
3 23.02429 15.52934 0.4846932 34.9895 0 0
3 23.04269 15.55771 0.4936325 34.98941 0 0
3 23.04268 15.5577 0.4936325 34.98939 0 0
3 16.2215 14.3626 0 18.06225 0.5896339 0
3 16.22151 14.36261 0 18.06225 0.5896339 0
3 17.67532 14.45796 0.4158455 20.8316 0.7606232 0
3 17.67524 14.45788 0.4158455 20.83152 0.7606232 0
3 17.76855 14.60594 0.4209393 20.87142 0.2492084 0
3 17.76858 14.60597 0.4209393 20.87148 0.2492084 0
3 18.60385 14.54005 0.5019691 22.73178 0.819554 0
3 18.60377 14.54001 0.5019691 22.73173 0.819554 0
3 17.27575 1.128652 0.3934245 34.98943 0 0
3 17.2757 1.128652 0.3934245 34.98941 0 0
3 30.7295 30.20668 0 34.98954 0 0
3 30.72934 30.2066 0 34.98933 0 0
3 9.479733 30.20666 0 10.70995 0.3032224 0
3 9.479712 30.20666 0 10.70999 0.3032224 0
3 19.39784 10.35311 0 34.98947 0 0
3 19.3978 10.35305 0 34.98941 0 0
3 19.39766 10.35294 0 34.98933 0 0
3 21.92544 11.98658 0.3462349 34.98948 0 0
3 21.92533 11.9866 0.3462349 34.98929 0 0
3 18.35721 2.34176 0.4299997 34.98951 0 0
3 18.35711 2.341593 0.4299997 34.98936 0 0
3 30.72942 30.20661 0 34.98941 0 0
3 30.72944 30.20665 0 34.98947 0 0
3 21.59431 30.20659 0 15.39205 0.6208971 0
3 21.59435 30.20663 0 15.39209 0.6208971 0
3 13.24274 30.2066 0 9.353703 0.7348371 0
3 13.2428 30.20663 0 9.353745 0.7348371 0
3 13.27218 30.20664 0 9.144046 0.6086076 0
3 13.27218 30.20656 0 9.144239 0.6086076 0
3 3.639971 2.396534 0.484007 8.845334 0.4003752 0
3 3.639756 2.396371 0.484007 8.84529 0.4003752 0
3 13.19839 30.2066 0 8.393559 0.3638365 0
3 13.19844 30.20667 0 8.39349 0.3638365 0
3 30.72936 30.20662 0 34.98933 0 0
3 30.72946 30.20669 0 34.98947 0 0
3 9.471581 6.281694 0.3978206 16.56471 0.5946343 0
3 9.471767 6.281788 0.3978206 16.56483 0.5946343 0
3 30.72942 30.20662 0 34.98943 0 0
3 30.72943 30.20667 0 34.98945 0 0
3 30.72943 30.20667 0 34.98946 0 0
3 20.75663 8.981023 0.6550025 34.98938 0 0
3 20.7567 8.981067 0.6550025 34.98946 0 0
3 30.72941 30.20666 0 34.98938 0 0
3 30.72946 30.20669 0 34.98948 0 0
3 15.23999 12.94028 0.5209024 18.45343 0 0
3 15.24002 12.94031 0.5209024 18.45342 0 0
3 30.72941 30.20664 0 34.9894 0 0
3 30.72947 30.20669 0 34.98946 0 0
3 30.72939 30.20664 0 34.98939 0 0
3 30.72941 30.20664 0 34.98941 0 0
3 19.55873 9.280062 0.5664144 34.98945 0 0
3 19.55867 9.279998 0.5664144 34.98938 0 0
3 19.57101 30.20663 0 10.65852 0.3893815 0
3 19.57103 30.20665 0 10.65846 0.3893815 0
3 19.5711 30.20673 0 10.65857 0.3893815 0
3 25.2362 15.17411 0.5517284 34.98943 0 0
3 25.23621 15.17417 0.5517284 34.98948 0 0
3 30.72941 30.20665 0 34.98937 0 0
3 30.72947 30.20667 0 34.98946 0 0
3 30.72937 30.20665 0 34.98936 0 0
3 30.72942 30.20664 0 34.98946 0 0
3 23.21746 30.20667 0 24.41617 0.428822 0
3 23.21748 30.2067 0 24.41619 0.428822 0
3 30.72938 30.2066 0 34.98933 0 0
3 30.72939 30.20662 0 34.98941 0 0
3 30.72939 30.20665 0 34.98939 0 0
3 30.72938 30.2066 0 34.98936 0 0
3 31.97885 30.20669 0 35.13654 0.4288146 0
3 31.97879 30.20665 0 35.13649 0.4288146 0
3 31.97873 30.2066 0 35.13643 0.4288146 0
3 30.72942 30.20665 0 34.98939 0 0
3 30.72948 30.20667 0 34.98948 0 0
3 30.72939 30.20664 0 34.98938 0 0
3 30.72942 30.20665 0 34.98936 0 0
3 30.83989 29.4039 0.4625387 32.55007 0 0
3 30.84002 29.40399 0.4625387 32.55014 0 0
3 29.05447 30.20669 0 33.32107 0.2636794 0
3 29.05443 30.20666 0 33.32105 0.2636794 0
3 32.8763 30.20661 0 39.02583 0.687291 0
3 32.87628 30.2066 0 39.02583 0.687291 0
3 25.2178 30.20665 0 32.93176 0 0
3 25.21775 30.20663 0 32.93169 0 0
3 25.21783 30.20666 0 32.93176 0 0
3 25.2178 30.20666 0 32.93176 0 0
3 25.21778 30.20662 0 32.93174 0 0
3 30.72939 30.20663 0 34.98936 0 0
3 30.7294 30.20666 0 34.9894 0 0
