FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 11 559.17 -0.5820926 1.685925 -2.47309 356.3527 191.5699 1.882525 0.4833075 0.5082555 0.4723293 0.4671502 -1 -1 -1 -1 0.7865342 0.395477
2 11 559.1782 -0.5820135 1.685923 -2.472977 356.3596 191.466 1.813488 0.4833075 0.5082555 0.4723293 0.4671502 -1 -1 -1 -1 0.7865342 0.395477
3 11 559.1938 -0.5817556 1.685895 -2.472294 356.4076 190.8809 1.414341 0.4609011 0.5347056 0.4723293 0.4671502 -1 -1 -1 -1 0.7759991 0.395477
4 11 559.2005 -0.5816768 1.685973 -2.47221 356.4055 190.8027 1.360236 0.4609011 0.5347056 0.4723293 0.4671502 -1 -1 -1 -1 0.7759991 0.395477
5 11 559.2114 -0.5816351 1.685996 -2.472057 356.3936 190.7281 1.307166 0.4592964 0.5339527 0.4650227 0.5109564 -1 -1 0.2877963 0.4970888 0.9144835 0.4541777
6 11 559.2225 -0.5818264 1.686053 -2.471931 356.386 190.6554 1.26246 0.4592964 0.5339527 0.4650227 0.5109564 -1 -1 -1 -1 0.9144835 0.4541777
7 11 559.2347 -0.581854 1.686042 -2.471759 356.3698 190.5881 1.210586 0.4394913 0.5821211 0.4650227 0.5109564 0 1 -1 -1 0 0.4541777
8 11 559.2465 -0.5818426 1.686048 -2.471648 356.3553 190.5493 1.177616 0.4394913 0.5821211 0.4650227 0.5109564 -1 -1 -1 -1 0 0.4541777
9 11 559.2567 -0.5817839 1.686094 -2.471483 356.3442 190.5127 1.134093 0.4394913 0.5821211 0.4650227 0.5109564 -1 -1 -1 -1 0 0.4541777
10 11 559.2672 -0.5818362 1.686065 -2.471298 356.3304 190.4899 1.102398 0.6873262 0.3152874 0.4152095 0.2081189 0.1252566 0.2852508 0 1 0.1957577 0
11 11 559.2773 -0.581879 1.686122 -2.471134 356.3383 190.4698 1.080799 0.6873262 0.3152874 0.4152095 0.2081189 -1 -1 -1 -1 0.1957577 0
12 11 559.2894 -0.5819515 1.686118 -2.470999 356.3227 190.4607 1.070473 0.6873262 0.3152874 0.4152095 0.2081189 -1 -1 -1 -1 0.1957577 0
13 11 559.3062 -0.5820339 1.686095 -2.47081 356.3156 190.4537 1.057305 0.4394913 0.5821211 0.4152095 0.2081189 0 1 0 1 0 0
14 11 559.3143 -0.582087 1.686123 -2.470613 356.3195 190.4781 1.05681 0.4394913 0.5821211 0.4152095 0.2081189 -1 -1 -1 -1 0 0
15 11 559.327 -0.5821562 1.68611 -2.470463 356.3141 190.4846 1.049483 0.4394913 0.5821211 0.4152095 0.2081189 -1 -1 -1 -1 0 0
16 11 559.3332 -0.5822207 1.686087 -2.470258 356.3172 190.5267 1.043653 0.4394913 0.5821211 0.4152095 0.2081189 -1 -1 -1 -1 0 0
