FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 39.26716 0.106105 1.644945 -1.967522 355.7221 0.1209082 358.5602 0 0 0 0 -1 -1 -1 -1 0 0
2 1 39.29309 0.1061115 1.645278 -1.967566 355.6276 0.1424581 358.5258 0.4728588 0.6039013 0.4702694 0.512697 0 1 0.4687293 0.6021163 0 0.4559006
3 1 39.32058 0.1044414 1.647795 -1.966755 353.8734 0.01878783 358.5309 0.4728588 0.6039013 0.4693411 0.5101134 0 1 0.4667137 0.6040411 0 0.6978553
4 1 39.32993 0.1039583 1.64821 -1.966802 353.6062 359.862 358.4955 0.4728588 0.6039013 0.4693411 0.5101134 -1 -1 -1 -1 0 0.6978553
5 1 39.33955 0.1038415 1.648348 -1.966822 353.5233 359.8066 358.4894 0.4728588 0.6039013 0.4693411 0.5101134 -1 -1 -1 -1 0 0.6978553
6 1 39.35061 0.1036836 1.648453 -1.96683 353.4471 359.7676 358.5208 0.4878591 0.5065537 0.4686341 0.5050771 0.3476393 0.6054912 0.4638976 0.6083487 0.9208833 0.848454
7 1 39.36124 0.1035504 1.648573 -1.966855 353.3974 359.7238 358.5429 0.4878591 0.5065537 0.4686341 0.5050771 -1 -1 -1 -1 0.9208833 0.848454
8 1 39.37347 0.1035359 1.648591 -1.966969 353.3388 359.702 358.5641 0.4878591 0.5065537 0.4694121 0.503999 -1 -1 0.4642438 0.6097136 0.9208833 0.8426852
9 1 39.38345 0.1034948 1.648647 -1.96698 353.299 359.6794 358.5916 0.4902081 0.5054825 0.4694121 0.503999 0.3448253 0.6057317 -1 -1 0.8462916 0.8426852
10 1 39.39444 0.1033691 1.648673 -1.966983 353.2586 359.6776 358.6113 0.4902081 0.5054825 0.4694121 0.503999 -1 -1 -1 -1 0.8462916 0.8426852
11 1 39.40709 0.1033821 1.648636 -1.966977 353.2297 359.6892 358.6271 0.4944741 0.5035001 0.4721193 0.5015285 0.3396678 0.6061378 0.4659908 0.613296 0.7197246 0.9508286
12 1 39.41702 0.1032969 1.648646 -1.966931 353.2115 359.6988 358.6417 0.4944741 0.5035001 0.4721193 0.5015285 -1 -1 -1 -1 0.7197246 0.9508286
13 1 39.42944 0.1032008 1.648618 -1.966868 353.1833 359.7321 358.6513 0.4944741 0.5035001 0.4721193 0.5015285 -1 -1 -1 -1 0.7197246 0.9508286
14 1 39.43901 0.1031947 1.648573 -1.966854 353.1883 359.7725 358.6526 0.4955443 0.5031819 0.4733562 0.5000862 0.3384498 0.6064006 0.4666633 0.6152369 0.7847714 0.9287283
15 1 39.45055 0.1032008 1.648557 -1.966841 353.1787 359.8258 358.6827 0.4955443 0.5031819 0.4733562 0.5000862 -1 -1 -1 -1 0.7847714 0.9287283
16 1 39.46238 0.1032337 1.648537 -1.966724 353.1905 359.8852 358.7079 0.4961373 0.5026413 0.474009 0.4999305 0.3376065 0.6062203 0.4672702 0.6156965 0.7025494 0.9800589
17 1 39.47482 0.1033099 1.648476 -1.966726 353.2029 359.9415 358.7439 0.4961373 0.5026413 0.474009 0.4999305 -1 -1 -1 -1 0.7025494 0.9800589
18 1 39.48335 0.1033167 1.648465 -1.9666 353.2291 0.00568396 358.778 0.4963875 0.5020474 0.474532 0.4995224 0.3370815 0.605817 0.4676395 0.6163315 0.7835544 0.9964301
19 1 39.49504 0.1033854 1.64843 -1.966452 353.2347 0.07801219 358.7974 0.4963875 0.5020474 0.474532 0.4995224 -1 -1 -1 -1 0.7835544 0.9964301
20 1 39.50678 0.1034899 1.64835 -1.966439 353.2522 0.1505904 358.8195 0.496086 0.5016912 0.4743157 0.4987635 0.3372195 0.6053441 0.4671026 0.61694 0.8089265 0.9824148
21 1 39.51719 0.1035139 1.648271 -1.966343 353.2742 0.2159753 358.8182 0.496086 0.5016912 0.4743157 0.4987635 -1 -1 -1 -1 0.8089265 0.9824148
22 1 39.68057 0.103458 1.648173 -1.966267 353.2933 0.293495 358.8083 0.4728588 0.6039013 0.4697663 0.3956868 0 1 0.4191936 0.7258038 0 0.7909728
23 1 39.6925 0.1033026 1.64729 -1.964071 353.823 0.6981496 358.9633 0.4728588 0.6039013 0.4708466 0.3963363 0 1 0.4206956 0.7255397 0 0.6513816
24 1 39.69821 0.1032616 1.647223 -1.963799 353.8829 0.6955763 358.9949 0.4728588 0.6039013 0.4708466 0.3963363 -1 -1 -1 -1 0 0.6513816
25 1 39.70733 0.1032677 1.64707 -1.963569 353.9307 0.6773049 359.023 0.4728588 0.6039013 0.4708466 0.3963363 -1 -1 -1 -1 0 0.6513816
26 1 39.7165 0.1031455 1.64691 -1.963229 354.0168 0.6364295 359.0744 0.4728588 0.6039013 0.4719567 0.3960264 0 1 0.4218416 0.7264993 0 0.6333648
27 1 39.72834 0.103132 1.646792 -1.962844 354.1085 0.6120458 359.105 0.4728588 0.6039013 0.4719567 0.3960264 -1 -1 -1 -1 0 0.6333648
28 1 39.73978 0.1030564 1.646679 -1.962565 354.2193 0.5502481 359.1371 0.4728588 0.6039013 0.472515 0.3955087 0 1 0.4222726 0.7274392 0 0.6385993
29 1 39.75037 0.102858 1.646513 -1.962152 354.3401 0.4750826 359.1528 0.4728588 0.6039013 0.472515 0.3955087 -1 -1 -1 -1 0 0.6385993
30 1 39.76124 0.1026192 1.646355 -1.961856 354.4736 0.3987918 359.1617 0.4728588 0.6039013 0.473101 0.3952349 0 1 0.4228337 0.7280884 0 0.591206
31 1 39.77278 0.102468 1.646131 -1.961542 354.6097 0.2758947 359.1704 0.4728588 0.6039013 0.473101 0.3952349 -1 -1 -1 -1 0 0.591206
32 1 39.78393 0.1022102 1.645965 -1.961137 354.752 0.1646329 359.1607 0.4858547 0.3978869 0.4729521 0.3952553 0.2865152 0.504985 0.4226715 0.7279852 0.99 0.7007444
33 1 39.7956 0.1019409 1.645871 -1.960705 354.8836 0.01310481 359.1613 0.4858547 0.3978869 0.4729521 0.3952553 -1 -1 -1 -1 0.99 0.7007444
34 1 39.80578 0.1016799 1.645848 -1.960325 354.9861 359.8682 359.1421 0.4858547 0.3978869 0.4729521 0.3952553 -1 -1 -1 -1 0.99 0.7007444
35 1 39.8175 0.1012499 1.645931 -1.959781 355.0248 359.6611 359.0943 0.4841737 0.3987519 0.473238 0.3964567 0.2887159 0.5051643 0.4234801 0.7266222 0.7450413 0.581168
36 1 39.82793 0.1007825 1.646033 -1.959324 355.0254 359.4106 359.0177 0.4841737 0.3987519 0.473238 0.3964567 -1 -1 -1 -1 0.7450413 0.581168
37 1 39.84254 0.1004286 1.645968 -1.958992 355.0277 359.1119 358.9263 0.4728588 0.6039013 0.438187 0.3761609 0 1 0 1 0 0
38 1 39.85043 0.09975705 1.645935 -1.958444 355.0331 358.7234 358.7926 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
39 1 39.86155 0.09912042 1.645962 -1.958002 355.0433 358.3209 358.6585 0.4728588 0.6039013 0.4681461 0.396557 0 1 0.4176889 0.7238925 0 0.8772437
40 1 39.87251 0.0984269 1.646035 -1.957676 355.0125 357.8244 358.4994 0.4728588 0.6039013 0.4681461 0.396557 -1 -1 -1 -1 0 0.8772437
41 1 39.88379 0.09763407 1.646275 -1.9573 354.9518 357.3039 358.3644 0.4728588 0.6039013 0.4681461 0.396557 -1 -1 -1 -1 0 0.8772437
42 1 39.89528 0.09673131 1.646609 -1.956954 354.7991 356.6461 358.2151 0.4728588 0.6039013 0.438187 0.3761609 0 1 0 1 0 0
43 1 39.90588 0.0958618 1.646896 -1.956764 354.6318 355.9449 358.0689 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
44 1 39.91663 0.09478671 1.647168 -1.956462 354.4279 355.1357 357.9347 0.4728588 0.6039013 0.438187 0.3761609 0 1 0 1 0 0
45 1 39.92753 0.09358546 1.647428 -1.956309 354.2469 354.2354 357.7975 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
46 1 39.94048 0.09241723 1.647711 -1.956044 354.0872 353.3099 357.6984 0.4728588 0.6039013 0.438187 0.3761609 0 1 -1 -1 0 0
47 1 39.9498 0.09118575 1.647979 -1.955902 353.9536 352.3472 357.6122 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
48 1 39.96105 0.09009609 1.648286 -1.955673 353.8279 351.4028 357.523 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
49 1 39.97221 0.08893308 1.6486 -1.955638 353.6809 350.46 357.4719 0.4728588 0.6039013 0.2125467 0.5488107 -1 -1 0.2644395 0.4977277 0 0.4434775
50 1 39.98357 0.08777797 1.648932 -1.955513 353.5085 349.545 357.4241 0.4728588 0.6039013 0.2125467 0.5488107 -1 -1 -1 -1 0 0.4434775
51 1 39.99423 0.08650705 1.649238 -1.955502 353.313 348.6286 357.3773 0.2530985 0.5389935 0.2123988 0.5480355 0.5858908 0.4614992 0.2638081 0.4984189 0.7806181 0.2168192
52 1 40.00616 0.08540273 1.649465 -1.95548 353.0802 347.6851 357.381 0.2530985 0.5389935 0.2123988 0.5480355 -1 -1 -1 -1 0.7806181 0.2168192
53 1 40.01696 0.08422968 1.649743 -1.955403 352.8895 346.7234 357.4092 0.4728588 0.6039013 0.2123988 0.5480355 0 1 -1 -1 0 0.2168192
54 1 40.02869 0.08290449 1.649968 -1.955435 352.7178 345.7652 357.4392 0.4728588 0.6039013 0.2123988 0.5480355 -1 -1 -1 -1 0 0.2168192
55 1 40.03862 0.08176133 1.650192 -1.955384 352.5907 344.8047 357.4875 0.4728588 0.6039013 0.2123988 0.5480355 -1 -1 -1 -1 0 0.2168192
56 1 40.05053 0.0806714 1.650383 -1.955456 352.4721 343.8822 357.569 0.4728588 0.6039013 0.1911966 0.5231293 0 1 0.2298215 0.5195302 0 0.304116
57 1 40.06087 0.07946034 1.650528 -1.955478 352.3686 342.9868 357.6322 0.4728588 0.6039013 0.1911966 0.5231293 -1 -1 -1 -1 0 0.304116
58 1 40.07205 0.07845924 1.650603 -1.955484 352.2895 342.1391 357.6949 0.4728588 0.6039013 0.1911966 0.5231293 -1 -1 -1 -1 0 0.304116
59 1 40.08308 0.07753095 1.650715 -1.955556 352.2215 341.3289 357.7869 0.4728588 0.6039013 0.1921539 0.5224928 0 1 0.2300451 0.5202913 0 0.3582427
60 1 40.09761 0.07650904 1.650783 -1.955547 352.1723 340.5482 357.8684 0.4728588 0.6039013 0.1921539 0.5224928 -1 -1 -1 -1 0 0.3582427
61 1 40.10696 0.07551202 1.650823 -1.955531 352.1539 339.8147 357.9376 0.4728588 0.6039013 0.438187 0.3761609 0 1 0 1 0 0
62 1 40.11689 0.07458802 1.650817 -1.9555 352.1592 339.092 357.9932 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
63 1 40.12775 0.07367752 1.650778 -1.955519 352.1943 338.4013 358.0253 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
64 1 40.13921 0.07284403 1.650691 -1.955617 352.2492 337.7226 358.0327 0.4728588 0.6039013 0.438187 0.3761609 0 1 0 1 0 0
65 1 40.15042 0.07198634 1.650548 -1.955614 352.2782 337.0451 358.0337 0.4728588 0.6039013 0.438187 0.3761609 -1 -1 -1 -1 0 0
66 1 40.16101 0.07101613 1.650432 -1.955791 352.347 336.3932 358.0091 0.3083328 0.533646 0.438187 0.3761609 0.5294928 0.5144855 0 1 0.6654993 0
67 1 40.1722 0.07012692 1.650313 -1.955848 352.4002 335.7652 357.9834 0.3083328 0.533646 0.438187 0.3761609 -1 -1 -1 -1 0.6654993 0
68 1 40.18383 0.06947362 1.650215 -1.956005 352.48 335.1369 357.9578 0.3083328 0.533646 0.3070141 0.520681 -1 -1 0.3205941 0.5411556 0.6654993 0.5814816
69 1 40.19406 0.06868029 1.650068 -1.956096 352.5438 334.5309 357.9285 0.3083328 0.533646 0.3070141 0.520681 -1 -1 -1 -1 0.6654993 0.5814816
70 1 40.2067 0.06785548 1.649979 -1.95609 352.5986 333.9383 357.9265 0.3171579 0.5339051 0.3070141 0.520681 0.5210371 0.5226854 -1 -1 0.84839 0.5814816
71 1 40.21647 0.06728182 1.649866 -1.95621 352.6613 333.3624 357.9221 0.3259337 0.5390791 0.3081545 0.5196062 0.5145402 0.5353069 0.3209161 0.5424031 0.4587874 0.3722617
72 1 40.22741 0.06652984 1.649738 -1.956341 352.7206 332.7814 357.9184 0.3259337 0.5390791 0.3081545 0.5196062 -1 -1 -1 -1 0.4587874 0.3722617
73 1 40.23979 0.06586933 1.649599 -1.9564 352.7844 332.2292 357.9131 0.3259337 0.5390791 0.3089842 0.5195622 -1 -1 0.3215924 0.5426266 0.4587874 0.2074955
74 1 40.24995 0.06525698 1.649428 -1.956451 352.8508 331.6672 357.9138 0.3406016 0.5356446 0.3089842 0.5195622 0.4990807 0.5439828 -1 -1 0.9371455 0.2074955
75 1 40.26138 0.06460531 1.649296 -1.956593 352.9309 331.1131 357.8966 0.3406016 0.5356446 0.3089842 0.5195622 -1 -1 -1 -1 0.9371455 0.2074955
76 1 40.27211 0.06402677 1.649142 -1.956671 352.9865 330.5648 357.868 0.3087775 0.5650109 0.438187 0.3761609 0.5395932 0.5475116 0 1 0.7152404 0
77 1 40.28344 0.06362977 1.649029 -1.956827 353.0677 330.041 357.8467 0.3087775 0.5650109 0.438187 0.3761609 -1 -1 -1 -1 0.7152404 0
78 1 40.29437 0.06310137 1.648888 -1.956943 353.136 329.5158 357.7953 0.3079016 0.566236 0.2600219 0.5379378 0.540771 0.5481049 0.2931085 0.515806 0.3744291 0.9483802
79 1 40.30571 0.06254446 1.648769 -1.957008 353.1998 329.0112 357.7539 0.3079016 0.566236 0.2600219 0.5379378 -1 -1 -1 -1 0.3744291 0.9483802
80 1 40.31649 0.06219544 1.648631 -1.957111 353.2769 328.512 357.7101 0.4728588 0.6039013 0.2608989 0.5372698 0 1 0.2933702 0.5165805 0 0.1596608
81 1 40.32849 0.06171047 1.64851 -1.95726 353.3293 328.0313 357.6561 0.4728588 0.6039013 0.2608989 0.5372698 -1 -1 -1 -1 0 0.1596608
82 1 40.33887 0.06118974 1.64851 -1.957236 353.3856 327.5561 357.6104 0.4728588 0.6039013 0.2608989 0.5372698 -1 -1 -1 -1 0 0.1596608
83 1 40.35008 0.06094054 1.648386 -1.957389 353.4214 327.0939 357.5725 0.3759719 0.5095176 0.438187 0.3761609 0.4549515 0.5449429 0 1 0.8107312 0
84 1 40.36107 0.06058948 1.648302 -1.957505 353.472 326.6511 357.5098 0.3759719 0.5095176 0.438187 0.3761609 -1 -1 -1 -1 0.8107312 0
85 1 40.37226 0.06033963 1.648156 -1.957627 353.5008 326.2242 357.4526 0.3206906 0.5602 0.3854911 0.5108142 0.5262383 0.5532387 0.3849192 0.5709176 0.5748299 0.5196249
86 1 40.38329 0.06007753 1.648 -1.95766 353.5428 325.7933 357.3941 0.3206906 0.5602 0.3854911 0.5108142 -1 -1 -1 -1 0.5748299 0.5196249
87 1 40.39931 0.05990693 1.647865 -1.957774 353.5989 325.4045 357.3467 0.3908449 0.516211 0.438187 0.3761609 0.4440559 0.5606123 0 1 0.55449 0
88 1 40.41067 0.05988634 1.647678 -1.957958 353.6434 325.0296 357.2862 0.3908449 0.516211 0.438187 0.3761609 -1 -1 -1 -1 0.55449 0
89 1 40.41951 0.05974747 1.647535 -1.95806 353.7012 324.6547 357.2391 0.4014227 0.5123561 0.438187 0.3761609 0.432551 0.5635773 0 1 0.8182256 0
90 1 40.4309 0.05965839 1.647392 -1.95815 353.738 324.3155 357.1819 0.4014227 0.5123561 0.438187 0.3761609 -1 -1 -1 -1 0.8182256 0
91 1 40.44617 0.05975577 1.647284 -1.958259 353.7681 324.0123 357.1276 0.4014227 0.5123561 0.438187 0.3761609 -1 -1 0 1 0.8182256 0
92 1 40.45309 0.05973756 1.647181 -1.958306 353.8096 323.7268 357.0738 0.4094272 0.5127637 0.438187 0.3761609 0.4252591 0.5687333 -1 -1 0.9871086 0
93 1 40.46587 0.05969709 1.647073 -1.958337 353.8189 323.4689 356.9991 0.4094272 0.5127637 0.438187 0.3761609 -1 -1 -1 -1 0.9871086 0
