FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 35.24878 -0.03735372 1.684294 -2.691781 356.4425 174.8625 5.551374 0 0 0 0 -1 -1 -1 -1 0 0
2 1 35.26913 -0.03730832 1.684369 -2.691676 356.4359 174.9476 5.506469 0.5480615 0.5158354 0.542842 0.499814 0.514419 0.5714133 0.5109219 0.4241333 0.8525888 1
3 1 35.28966 -0.03693988 1.684416 -2.691529 356.3802 175.2847 5.363287 0.5460067 0.513081 0.542842 0.499814 0.515299 0.568735 -1 -1 1 1
4 1 35.29688 -0.03684872 1.68444 -2.691596 356.3891 175.2846 5.367867 0.5460067 0.513081 0.542842 0.499814 -1 -1 -1 -1 1 1
5 1 35.30814 -0.03682214 1.684493 -2.691552 356.3968 175.2819 5.347823 0.5460067 0.513081 0.542842 0.499814 -1 -1 -1 -1 1 1
6 1 35.31974 -0.0368442 1.684476 -2.691548 356.3927 175.2864 5.309771 0.5425462 0.5120826 0.542842 0.499814 0.5177685 0.5668025 -1 -1 1 1
7 1 35.3335 -0.0367805 1.684464 -2.691508 356.3946 175.2879 5.279609 0.4458447 0.3827741 0.5430004 0.4990212 0 1 0.5108235 0.4248842 0 0.3908601
8 1 35.34226 -0.03669219 1.684402 -2.691519 356.3991 175.2906 5.249627 0.7928818 0.3269428 0.4396587 0.5822664 0.3215781 0.4587654 0 1 0.99 0
9 1 35.35241 -0.03668307 1.684374 -2.691517 356.4001 175.2789 5.241364 0.7928818 0.3269428 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
10 1 35.36359 -0.03661025 1.684367 -2.691515 356.4214 175.2872 5.21204 0.7928818 0.3269428 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
11 1 35.37522 -0.03654791 1.684296 -2.691515 356.4417 175.2868 5.178286 0.7928818 0.3269428 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
12 1 35.38599 -0.03648224 1.684245 -2.691487 356.4769 175.2879 5.137838 0.3592679 0.4030153 0.8272068 0.4824543 0.6234846 0.4196987 0.572128 0.8261393 0.99 0.99
13 1 35.39682 -0.03642669 1.684244 -2.691456 356.5162 175.2853 5.093138 0.3592679 0.4030153 0.8272068 0.4824543 -1 -1 -1 -1 0.99 0.99
14 1 35.40815 -0.03638958 1.684183 -2.691437 356.5493 175.2962 5.045446 0.3592679 0.4030153 0.8272068 0.4824543 -1 -1 -1 -1 0.99 0.99
15 1 35.41928 -0.03636285 1.684128 -2.691392 356.5932 175.3006 4.995798 0.3592679 0.4030153 0.8272068 0.4824543 -1 -1 -1 -1 0.99 0.99
16 1 35.43042 -0.03633509 1.684082 -2.691376 356.6389 175.3287 4.930534 0.3592679 0.4030153 0.8272068 0.4824543 -1 -1 -1 -1 0.99 0.99
17 1 35.44168 -0.03630726 1.68403 -2.691364 356.6737 175.362 4.868457 0.5095705 0.5205847 0.4396587 0.5822664 0.5463727 0.5608918 0 1 0.99 0
18 1 35.45253 -0.03623614 1.684017 -2.691373 356.7003 175.3967 4.790241 0.5095705 0.5205847 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
19 1 35.46381 -0.03621641 1.683992 -2.691364 356.725 175.4337 4.72189 0.5095705 0.5205847 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
20 1 35.47463 -0.03622256 1.683979 -2.691331 356.7593 175.4688 4.646507 0.5095705 0.5205847 0.4396587 0.5822664 -1 -1 -1 -1 0.99 0
21 1 35.48605 -0.03620564 1.683925 -2.691296 356.7898 175.5064 4.592788 0.5057752 0.5192088 0.5060866 0.5022333 0.5490291 0.5584824 0.4768316 0.4088093 1 0.9492537
22 1 35.49676 -0.03624697 1.683784 -2.691194 356.8216 175.5405 4.543389 0.5057752 0.5192088 0.5060866 0.5022333 -1 -1 -1 -1 1 0.9492537
23 1 35.66242 -0.03622875 1.683764 -2.691158 356.8489 175.5753 4.499501 0.5027989 0.5197818 0.4978017 0.505906 0.5515782 0.5577682 0.469828 0.402967 0.8953466 1
24 1 35.67316 -0.03550213 1.683349 -2.691011 357.0451 176.065 4.096142 0.5027989 0.5197818 0.4978017 0.505906 -1 -1 -1 -1 0.8953466 1
25 1 35.68154 -0.03541709 1.683295 -2.690974 357.0715 176.0808 4.059976 0.5022664 0.5198486 0.4960478 0.5054403 0.5520246 0.5576141 0.4679925 0.4027973 0.9210672 0.9733672
26 1 35.68547 -0.03544851 1.683261 -2.690918 357.0976 176.1108 4.032282 0.5022664 0.5198486 0.4960478 0.5054403 -1 -1 -1 -1 0.9210672 0.9733672
27 1 35.69696 -0.03536249 1.683173 -2.690822 357.111 176.1372 4.020783 0.5022664 0.5198486 0.4960478 0.5054403 -1 -1 -1 -1 0.9210672 0.9733672
28 1 35.70762 -0.03529796 1.683143 -2.690753 357.1353 176.1438 4.015696 0.5022664 0.5198486 0.4960478 0.5054403 -1 -1 -1 -1 0.9210672 0.9733672
29 1 35.71933 -0.03507323 1.683087 -2.690701 357.1505 176.1645 4.016558 0.5022664 0.5198486 0.4960478 0.5054403 -1 -1 -1 -1 0.9210672 0.9733672
