FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 302.6784 0.1818429 1.467745 -1.905915 353.5938 317.1625 0.05135778 0 0 0 0 -1 -1 -1 -1 0 0
2 1 302.7151 0.1819979 1.467702 -1.906168 353.5826 317.1644 0.03452953 0.4596263 0.4987584 0.5000074 0.4800093 0.3885998 0.7845362 0 1 1 0
3 1 302.7335 0.1846414 1.467735 -1.908216 353.4526 317.2562 -0.00169491 0.4596263 0.4987584 0.5000074 0.4800093 -1 -1 0 1 1 0
4 1 302.7448 0.1848107 1.467776 -1.908463 353.4392 317.2484 0.01586391 0.4608759 0.4982132 0.5000074 0.4800093 0.387116 0.7848226 -1 -1 1 0
5 1 302.7556 0.1848847 1.467763 -1.90855 353.4319 317.2469 0.02364808 0.4608759 0.4982132 0.5000074 0.4800093 -1 -1 -1 -1 1 0
6 1 302.7669 0.1849898 1.467779 -1.908653 353.4347 317.2443 0.02413222 0.6357486 0.4927399 0.5000074 0.4800093 0 1 0 1 0 0
7 1 302.778 0.1849222 1.467846 -1.908628 353.4235 317.2341 0.03321005 0.6357486 0.4927399 0.5000074 0.4800093 -1 -1 -1 -1 0 0
8 1 302.8003 0.1850946 1.467875 -1.908773 353.4245 317.2167 0.05280364 0.5312328 0.4912553 0.5000074 0.4800093 0.3122298 0.8126984 -1 -1 0.8030168 0
9 1 302.8113 0.1851997 1.467848 -1.908947 353.4261 317.215 0.0551613 0.5321178 0.4916201 0.5381756 0.4717558 0.3114631 0.8133224 0.4627571 0.3111077 0.8556609 0.6756985
10 1 302.8224 0.1852525 1.467844 -1.908996 353.4409 317.201 0.06502856 0.5321178 0.4916201 0.5381756 0.4717558 -1 -1 -1 -1 0.8556609 0.6756985
11 1 302.8341 0.1852692 1.467887 -1.909044 353.454 317.206 0.07396008 0.532 0.4913457 0.5381382 0.471528 0.3114581 0.8130814 0.4624299 0.3112472 0.7895394 0.389286
12 1 302.8558 0.1854791 1.467869 -1.909211 353.464 317.1939 0.08534576 0.532 0.4913457 0.5381382 0.471528 -1 -1 -1 -1 0.7895394 0.389286
13 1 302.867 0.1856461 1.467829 -1.909309 353.4655 317.1803 0.07927567 0.5324417 0.4919241 0.5373347 0.4720832 0.3112629 0.8136696 0.4616801 0.3099573 0.9195662 0.4195902
14 1 302.8893 0.1857301 1.467757 -1.909415 353.484 317.1813 0.06684966 0.5326589 0.4928329 0.5371895 0.4718266 0.3114624 0.8143941 0.4611312 0.310005 0.8770716 0.5578721
15 1 302.8999 0.1858122 1.46775 -1.909482 353.4887 317.1691 0.07455498 0.5326589 0.4928329 0.5371895 0.4718266 -1 -1 -1 -1 0.8770716 0.5578721
16 1 302.9111 0.1859664 1.46772 -1.909554 353.4895 317.1593 0.06870678 0.5329509 0.4935687 0.5371895 0.4718266 0.3115003 0.8150277 -1 -1 0.8272574 0.5578721
17 1 302.9225 0.1860332 1.467736 -1.909588 353.4936 317.1556 0.08118124 0.5329509 0.4935687 0.5371895 0.4718266 -1 -1 -1 -1 0.8272574 0.5578721
18 1 302.9336 0.1861119 1.46774 -1.909617 353.4906 317.1527 0.08188765 0.5329509 0.4935687 0.5371895 0.4718266 -1 -1 -1 -1 0.8272574 0.5578721
19 1 302.9448 0.1861976 1.467701 -1.909726 353.4712 317.1603 0.07878665 0.5335366 0.4938305 0.5373517 0.4725084 0.311001 0.8154528 0.4621964 0.3096398 0.8672282 0.5403048
20 1 303.1076 0.1862787 1.467719 -1.909749 353.4808 317.1482 0.07946529 0.5312943 0.4946879 0.536929 0.4732239 0.3137882 0.8151159 0.4622499 0.308615 0.8853388 0.4475885
21 1 303.1174 0.1878545 1.467619 -1.910276 353.3908 317.1299 0.06225363 0.5312943 0.4946879 0.536929 0.4732239 -1 -1 -1 -1 0.8853388 0.4475885
22 1 303.123 0.1880013 1.467673 -1.910321 353.3828 317.125 0.05342434 0.5312943 0.4946879 0.536929 0.4732239 -1 -1 -1 -1 0.8853388 0.4475885
23 1 303.1332 0.1881311 1.467679 -1.910308 353.3765 317.11 0.0480823 0.5312238 0.4922529 0.536929 0.4732239 0.3127119 0.8133923 -1 -1 0.7657909 0.4475885
24 1 303.1443 0.1882409 1.467665 -1.910379 353.3754 317.1134 0.03400532 0.5312238 0.4922529 0.536929 0.4732239 -1 -1 -1 -1 0.7657909 0.4475885
25 1 303.1555 0.188333 1.467667 -1.910371 353.3672 317.1111 0.03398095 0.5283877 0.4825927 0.5000074 0.4800093 0.3111225 0.8053592 0 1 0.9267946 0
