FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 3 659.6562 -0.04173121 1.649496 -2.789764 8.951624 148.4275 359.4361 0.5711955 0.4316043 0.485895 0.4727682 -1 -1 -1 -1 0.4617298 0
2 3 659.6633 -0.04189338 1.649486 -2.789753 8.942462 148.5001 359.4231 0.5711955 0.4316043 0.485895 0.4727682 -1 -1 -1 -1 0.4617298 0
3 3 659.671 -0.04274247 1.649515 -2.789635 8.88819 148.6842 359.3197 0.5711955 0.4316043 0.485895 0.4727682 -1 -1 -1 -1 0.4617298 0
4 3 659.6891 -0.04302385 1.649572 -2.789552 8.860167 148.7638 359.2927 0.5711955 0.4316043 0.485895 0.4727682 -1 -1 -1 -1 0.4617298 0
5 3 659.7012 -0.04323452 1.649589 -2.78948 8.829885 148.7865 359.2701 0.5537878 0.5200183 0.5476549 0.506788 -1 -1 0.5215395 0.3264931 0.9320543 0.3701224
6 3 659.7134 -0.04346457 1.649643 -2.789415 8.789872 148.8431 359.2517 0.5537878 0.5200183 0.5476549 0.506788 -1 -1 -1 -1 0.9320543 0.3701224
7 3 659.7232 -0.04372991 1.64976 -2.7893 8.759221 148.8999 359.2483 0.5233324 0.5142193 0.4390201 0.5794114 0.5490538 0.7258638 0 1 0.6465795 0
8 3 659.7449 -0.04401866 1.649751 -2.789086 8.663663 148.928 359.261 0.5233324 0.5142193 0.4390201 0.5794114 -1 -1 -1 -1 0.6465795 0
9 3 659.7675 -0.04424761 1.649901 -2.788989 8.544895 148.9885 359.2888 0.4989825 0.5169272 0.4390201 0.5794114 0.5746313 0.7173127 0 1 0.7495207 0
10 3 659.7894 -0.0443105 1.650038 -2.788978 8.432898 149.0106 359.302 0.4995753 0.5176552 0.4845462 0.4984943 0.5742519 0.7181964 0.4536871 0.2932503 0.9047195 0.831657
11 3 659.812 -0.0444059 1.650079 -2.788872 8.34895 148.969 359.3414 0.5002684 0.518649 0.4849202 0.4991171 0.5738491 0.7193506 0.4544152 0.2928759 0.947135 0.7427436
12 3 659.8346 -0.04445084 1.650103 -2.788783 8.30252 148.9038 359.356 0.5001711 0.5191535 0.4850088 0.4993997 0.5740981 0.7197335 0.4546608 0.2926619 0.975117 0.7661256
13 3 659.8571 -0.04442924 1.650164 -2.788664 8.303172 148.8227 359.3343 0.5001797 0.5182778 0.4846519 0.4993718 0.5738279 0.7189963 0.4542741 0.292491 0.9086199 0.8289636
14 3 659.8791 -0.04441386 1.650075 -2.788396 8.383413 148.7483 359.2592 0.500113 0.5193034 0.4845226 0.4985109 0.5742015 0.7198341 0.4536715 0.2932218 0.8255767 0.9183351
15 3 659.9017 -0.04449503 1.649943 -2.787861 8.51032 148.6447 359.2171 0.5002558 0.5192964 0.4848497 0.4975685 0.574055 0.7198929 0.4534992 0.2942818 0.8057358 0.8395376
16 3 659.9227 -0.04449732 1.64989 -2.78731 8.555768 148.5747 359.2279 0.5001175 0.5194168 0.4852008 0.4976756 0.5742307 0.7199322 0.4539233 0.294375 0.864315 0.8167223
17 3 659.9449 -0.04483593 1.649956 -2.786704 8.541549 148.4834 359.2655 0.500571 0.5196058 0.4854079 0.4980955 0.573828 0.7202974 0.4543675 0.2940973 0.8289919 0.6682609
18 3 659.9673 -0.04506027 1.650143 -2.786121 8.474679 148.4053 359.3411 0.5013059 0.5203728 0.4863892 0.4989326 0.5733114 0.7212794 0.4558428 0.2938614 0.8440019 0.7606909
19 3 659.9894 -0.045182 1.650365 -2.785603 8.362441 148.3695 359.3568 0.5018261 0.5211644 0.4869758 0.4993532 0.5730177 0.7221854 0.4566799 0.2937974 0.9302026 0.7697005
20 3 660.0121 -0.04527946 1.650593 -2.785204 8.235405 148.3477 359.3548 0.5024181 0.521649 0.487878 0.4993711 0.5725596 0.7228638 0.4576252 0.2942857 0.880974 0.8602483
21 3 660.0334 -0.04550119 1.650847 -2.784903 8.06087 148.3474 359.3904 0.5024181 0.521649 0.487878 0.4993711 -1 -1 -1 -1 0.880974 0.8602483
22 3 660.056 -0.04557123 1.651345 -2.78487 7.868734 148.4058 359.3925 0.5027028 0.521472 0.4883611 0.5000036 0.5722187 0.7228423 0.4584675 0.293971 0.8533086 0.8490772
23 3 660.0782 -0.0456477 1.651663 -2.785011 7.552094 148.5014 359.3409 0.5036892 0.5209748 0.4889835 0.4997433 0.5710716 0.7228656 0.4589712 0.294563 1 0.7418051
24 3 660.1005 -0.04576738 1.651941 -2.785264 7.283691 148.6035 359.3056 0.503679 0.5207974 0.4893712 0.4992295 0.5710298 0.7227107 0.4590948 0.2952582 1 0.7120689
