FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 9 747.133 -0.7031796 1.680348 -1.909542 359.9133 138.6691 6.232036 0.5030555 0.5869186 0.3791071 0.4762645 0 1 0 1 0 0
2 9 747.1401 -0.7032129 1.680223 -1.909866 359.9487 138.5873 6.14296 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
3 9 747.145 -0.7038394 1.680231 -1.91086 0.06878941 138.3029 5.730764 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
4 9 747.1669 -0.7038866 1.680392 -1.91153 0.1614906 138.2392 5.409946 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
5 9 747.1755 -0.7040324 1.680285 -1.911851 0.210659 138.2027 5.239335 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
6 9 747.1866 -0.7041954 1.680224 -1.91214 0.252548 138.1773 5.070409 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
7 9 747.1983 -0.7044528 1.679987 -1.912626 0.3338081 138.1217 4.773703 0.573334 0.517616 0.5672308 0.5021141 0.5029312 0.5991946 0.469226 0.4747474 1 0.6855861
8 9 747.2092 -0.704806 1.679853 -1.913177 0.4211773 138.0751 4.440718 0.573334 0.517616 0.5672308 0.5021141 -1 -1 -1 -1 1 0.6855861
9 9 747.2314 -0.705227 1.679717 -1.913705 0.4951306 138.0636 4.148492 0.573334 0.517616 0.5672308 0.5021141 -1 -1 -1 -1 1 0.6855861
10 9 747.2534 -0.7057527 1.679625 -1.914267 0.5547338 138.0422 3.848515 0.573334 0.517616 0.5672308 0.5021141 -1 -1 -1 -1 1 0.6855861
11 9 747.2762 -0.7062677 1.679498 -1.914649 0.6247164 138.0714 3.542462 0.5719855 0.5173752 0.5642214 0.5031272 0.5038513 0.5985983 0.4669161 0.4724919 0.8120342 0.8148589
