pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
5 8.045325 7.704693 0.4683613 8.601013 0.966045 0
5 8.045325 7.704719 0.4683613 8.601036 0.966045 0
5 8.045325 7.704719 0.4683613 8.601013 0.966045 0
5 8.019272 7.654963 0.6390787 8.58833 0.9967765 0
5 8.019297 7.654989 0.6390787 8.588376 0.9967765 0
5 7.964742 7.678386 0.7370549 8.481722 0.9605716 0
5 7.964692 7.678335 0.7370549 8.48163 0.9605716 0
5 7.964667 7.67836 0.7370549 8.481653 0.9605716 0
5 7.776955 7.444158 0.8110175 8.363232 1 0
5 7.777106 7.444343 0.8110175 8.363349 1 0
5 7.631624 7.314427 0.6838245 8.189809 0.8495792 0
5 7.631572 7.3144 0.6838245 8.189713 0.8495792 0
5 7.414286 7.089196 0.6727226 7.976834 1 0
5 7.414259 7.089086 0.6727226 7.97681 1 0
5 7.311959 7.037456 0.6472942 7.826692 0.9737069 0
5 7.311932 7.037428 0.6472942 7.826617 0.9737069 0
5 7.311959 7.0374 0.6472942 7.826641 0.9737069 0
5 7.107464 6.870355 0.5263523 7.601271 0.9135286 0
5 7.107408 6.870269 0.5263523 7.601194 0.9135286 0
5 6.946644 6.558614 0.2333582 7.60122 0.9135286 0
5 6.946729 6.558673 0.2333582 7.601271 0.9135286 0
5 25.79996 6.558614 0.2333582 45.5336 0 0
5 25.79999 6.558643 0.2333582 45.53361 0 0
5 25.80003 6.558643 0.2333582 45.53357 0 0
5 1.258033 2.516217 0.3137455 2.839246 0.8167401 0
5 1.258499 2.516451 0.3137455 2.839246 0.8167401 0
5 1.186632 1.788598 0.4460289 2.839177 0.8167401 0
5 1.046237 1.130212 0.3976439 2.620773 0.8289914 0
5 1.046237 1.130212 0.3976439 2.620698 0.8289914 0
5 1.004636 0.8561515 0.3483765 2.608045 0.8416777 0
5 1.004831 0.8559229 0.3483765 2.607895 0.8416777 0
5 1.033251 0.7083117 0.5488908 2.613443 0.731677 0
5 1.03344 0.7083117 0.5488908 2.613443 0.731677 0
5 1.065327 0.6205508 0.3666246 2.60842 0.7427433 0
5 1.06496 0.6208661 0.3666246 2.608345 0.7427433 0
5 1.06496 0.6202354 0.3666246 2.608345 0.7427433 0
5 1.091995 0.4454334 0.481304 2.449205 0.6034529 0
5 1.091995 0.4449939 0.481304 2.449205 0.6034529 0
5 1.143123 0.3706227 0.5840065 2.421639 0.7635651 0
5 1.142952 0.3695653 0.5840065 2.421396 0.7635651 0
5 1.109241 0.5196414 0.4978347 2.339252 0.7330217 0
5 1.109241 0.5196414 0.4978347 2.339168 0.7330217 0
5 0.9312522 0.7509531 0.5782352 2.339085 0.7330217 0
5 24.61122 0.7509531 0.5782352 45.53358 0 0
5 24.6114 0.7509531 0.5782352 45.53377 0 0
5 24.32269 1.295884 0.3336785 45.53355 0 0
5 24.32274 1.295884 0.3336785 45.53361 0 0
5 0.8469599 1.880448 0.4616326 0.3226406 0.7900153 0
5 0.8469599 1.880344 0.4616326 0.3232465 0.7900153 0
5 0.8467289 1.880344 0.4616326 0.3226406 0.7900153 0
5 0.8932863 1.968216 0.5257335 0.1968319 0.8857321 0
5 0.8937243 1.968315 0.5257335 0.1988102 0.8857321 0
5 0.9881397 2.043252 0.444194 0.2609472 0.6771855 0
5 0.9881397 2.04306 0.444194 0.2594432 0.6771855 0
5 1.204473 2.143932 0.5361306 0.5410409 0.8641894 0
5 1.204473 2.144206 0.5361306 0.5414024 0.8641894 0
5 1.20431 2.143841 0.5361306 0.5403171 0.8641894 0
5 1.224772 2.148583 0.5076534 0.5406791 0.8641894 0
5 1.285727 2.217791 0.5562425 0.6243232 0.8272919 0
5 1.285727 2.217967 0.5562425 0.6243232 0.8272919 0
5 1.386775 2.252206 0.6138184 0.7222635 0.9498466 0
5 1.386775 2.252206 0.6138184 0.7219925 0.9498466 0
5 1.460185 2.291577 0.6591321 0.7745547 0.8667103 0
5 1.460185 2.291662 0.6591321 0.774302 0.8667103 0
5 1.416512 2.24533 0.5194103 0.770502 0.8992206 0
5 1.416512 2.245156 0.5194103 0.7707559 0.8992206 0
5 1.441979 2.267536 0.5332676 0.8158936 0.9933618 0
5 1.441708 2.267536 0.5332676 0.8158936 0.9933618 0
5 1.441844 2.267708 0.5332676 0.8158936 0.9933618 0
5 1.518911 2.433572 0.4694847 0.7843454 0.9076791 0
5 1.518911 2.433652 0.4694847 0.7843454 0.9076791 0
5 1.561601 2.535899 0.5983061 0.719821 0.9667659 0
5 1.561601 2.535899 0.5983061 0.719821 0.9667659 0
5 1.573212 2.550675 0.4307337 0.6960504 0.9835069 0
5 1.573461 2.550675 0.4307337 0.6963314 0.9835069 0
5 1.547755 2.504287 0.5879995 0.6957693 0.9835069 0
5 1.505322 2.504365 0.5879995 0.6084505 0.9188808 0
5 1.505192 2.504209 0.5879995 0.6090934 0.9188808 0
5 1.474588 2.47251 0.610842 0.5733491 1 0
5 1.474323 2.472351 0.610842 0.5736903 1 0
5 1.501938 2.52445 0.545823 0.5609285 0.9982978 0
5 1.502199 2.524295 0.545823 0.5609285 0.9982978 0
5 1.480284 2.524372 0.545823 0.4937682 1 0
5 1.470335 2.51178 0.473086 0.4945601 1 0
5 1.470469 2.511857 0.473086 0.4937682 1 0
5 1.429166 2.503036 0.5384887 0.4121198 0.9453175 0
5 1.429303 2.503193 0.5384887 0.4111691 0.9453175 0
5 1.437358 2.602937 0.6003653 0.3426407 0.8638359 0
5 1.437494 2.603237 0.6003653 0.3420692 0.8638359 0
5 1.437494 2.603237 0.6003653 0.3432113 0.8638359 0
5 1.46967 2.634777 0.6412042 0.3555328 1 0
5 1.469537 2.634628 0.6412042 0.3544303 1 0
5 1.54015 2.654391 0.5463983 0.4685547 0.9270595 0
5 1.540277 2.654391 0.5463983 0.4693892 0.9270595 0
5 1.582638 2.74174 0.5890148 0.4756011 0.9097077 0
5 1.58239 2.741669 0.5890148 0.4747775 0.9097077 0
5 1.610948 2.793863 0.5835465 0.4751895 0.9097077 0
5 1.596794 2.793793 0.5835465 0.4756011 1 0
5 1.596917 2.793863 0.5835465 0.4756011 1 0
5 1.588562 2.872694 0.7198804 0.3961419 0.9754328 0
5 1.588808 2.872762 0.7198804 0.3956476 0.9754328 0
5 1.555071 2.881879 0.6734673 0.3403488 0.9920565 0
5 1.555071 2.881947 0.6734673 0.339197 0.9920565 0
5 1.549145 2.933782 0.4864381 0.2454926 0.770043 0
5 1.548892 2.933582 0.4864381 0.2438933 0.770043 0
5 1.492659 2.850462 0.5556391 0.2055842 0.9118973 0
5 1.493052 2.850599 0.5556391 0.20842 0.9118973 0
5 1.492921 2.850393 0.5556391 0.2065338 0.9118973 0
5 1.416651 2.823275 0.5238513 0.1643245 0.8965093 0
5 1.416512 2.823067 0.5238513 0.1643245 0.8965093 0
5 1.382252 2.799812 0.6844798 0.132704 0.9171112 0
5 1.382535 2.799952 0.6844798 0.1341704 0.9171112 0
5 1.371022 2.760169 0.4755397 0.09278741 0.7538242 0
5 1.371164 2.760169 0.4755397 0.09691329 0.7538242 0
5 1.362718 2.798763 0.7029485 0.1008706 0.8568623 0
5 1.362431 2.798693 0.7029485 0.09691329 0.8568623 0
5 1.362431 2.798483 0.7029485 0.1008706 0.8568623 0
5 1.286183 2.694862 0.6393386 0.1384764 0.9054304 0
5 1.285879 2.694862 0.6393386 0.1384764 0.9054304 0
5 1.316707 2.762509 0.5987015 0.1493534 0.9063853 0
5 1.316707 2.762721 0.5987015 0.1493534 0.9063853 0
5 1.314029 2.746092 0.542508 0.1341704 0.7551187 0
5 1.314327 2.746163 0.542508 0.1370561 0.7551187 0
5 1.314327 2.746234 0.542508 0.1370561 0.7551187 0
5 1.357683 2.799742 0.6391782 0.1203313 0.8954625 0
5 1.357683 2.799742 0.6391782 0.1203313 0.8954625 0
5 1.26114 2.665356 0.9038482 0.1643245 0.9406339 0
5 1.261295 2.665356 0.9038482 0.1643245 0.9406339 0
5 1.260209 2.670491 0.6098846 0.1855749 0.8731423 0
5 1.259898 2.670345 0.6098846 0.1823843 0.8731423 0
5 1.24537 2.630167 0.7305514 0.2167048 0.7840651 0
5 1.24537 2.630092 0.7305514 0.2176059 0.7840651 0
5 1.245055 2.630241 0.7305514 0.2176059 0.7840651 0
5 1.346248 2.734949 0.4590774 0.2220564 0.8183523 0
5 1.346248 2.735021 0.4590774 0.2220564 0.8183523 0
5 1.410698 2.812299 0.5499495 0.1948336 0.9364383 0
5 1.410976 2.812508 0.5499495 0.1978235 0.9364383 0
5 1.372306 2.784037 0.5070114 0.1594904 0.871308 0
5 1.372306 2.784107 0.5070114 0.1582588 0.871308 0
5 1.432721 2.864915 0.564775 0.09891172 1 0
5 1.432858 2.865052 0.564775 0.1008706 1 0
5 1.449019 2.81675 0.5450624 0.1235407 0.7699102 0
5 1.449154 2.81675 0.5450624 0.1251145 0.7699102 0
5 1.486353 2.799182 0.5284705 0.165511 0.8105274 0
5 1.486353 2.799182 0.5284705 0.165511 0.8105274 0
5 1.486353 2.799113 0.5284705 0.165511 0.8105274 0
5 1.41596 2.767181 0.5977957 0.07912937 0.8805927 0
5 1.416236 2.767181 0.5977957 0.07661668 0.8805927 0
5 1.466871 2.948757 0.6683697 0.1219466 0.8227041 0
5 1.466604 2.948492 0.6683697 0.1203313 0.8227041 0
5 1.466604 2.948624 0.6683697 0.1203313 0.8227041 0
5 1.447127 2.854717 0.5270853 0.1978235 0.9366278 0
5 1.446857 2.854579 0.5270853 0.1968319 0.9366278 0
5 1.455353 2.880044 0.5639493 0.2264194 0.8389533 0
5 1.455218 2.880112 0.5639493 0.2264194 0.8389533 0
5 1.390016 2.713537 0.5903274 0.3195939 0.8491005 0
5 1.390016 2.713537 0.5903274 0.3195939 0.8491005 0
5 1.374728 2.713537 0.5903274 0.3304307 0.8365151 0
5 1.391423 2.743096 0.621177 0.3316129 0.8365151 0
5 1.391423 2.743096 0.621177 0.329838 0.8365151 0
5 1.426562 2.888392 0.4494271 0.3527702 0.838869 0
5 1.426699 2.888392 0.4494271 0.3522151 0.838869 0
5 1.441979 2.935783 0.6375301 0.3896677 0.8063498 0
5 1.442115 2.93585 0.6375301 0.3906707 0.8063498 0
5 1.459649 2.884526 0.586695 0.3700944 0.8321524 0
5 1.459515 2.884391 0.586695 0.3695653 0.8321524 0
5 1.459917 2.884526 0.586695 0.3695653 0.8321524 0
5 1.44442 2.848401 0.5065297 0.3841043 0.9136055 0
5 1.444285 2.848264 0.5065297 0.3830841 0.9136055 0
5 1.413332 2.880996 0.5260944 0.2315465 0.805327 0
5 1.41347 2.881063 0.5260944 0.234068 0.805327 0
5 1.407226 2.877528 0.5705511 0.2502292 0.8364555 0
5 1.407365 2.8778 0.5705511 0.2502292 0.8364555 0
5 1.396477 2.88846 0.6529118 0.2264194 0.836762 0
5 1.396898 2.888596 0.6529118 0.2272819 0.836762 0
5 1.396617 2.88846 0.6529118 0.2264194 0.836762 0
5 1.369451 2.794563 0.6922814 0.1570175 0.805306 0
5 1.369308 2.794493 0.6922814 0.1557664 0.805306 0
5 1.276716 2.675983 0.608915 0.2406627 0.8142447 0
5 1.276562 2.675983 0.608915 0.2398483 0.8142447 0
5 1.276869 2.676129 0.608915 0.2406627 0.8142447 0
5 1.265323 2.65918 0.5375499 0.2255535 0.7858962 0
5 1.265168 2.65918 0.5375499 0.2264194 0.7858962 0
5 1.262226 2.643973 0.4562579 0.1735894 0.8249609 0
5 1.262071 2.643898 0.4562579 0.1724585 0.8249609 0
5 1.284509 2.669318 0.6335901 0.2055842 0.8797179 0
5 1.284966 2.669538 0.6335901 0.2065338 0.8797179 0
5 1.284661 2.669392 0.6335901 0.2074791 0.8797179 0
5 1.24175 2.65107 0.6205435 0.3214254 0.858246 0
5 1.241908 2.651292 0.6205435 0.3214254 0.858246 0
5 1.26114 2.713537 0.6141155 0.4279585 0.7778857 0
5 1.260985 2.713609 0.6141155 0.4279585 0.7778857 0
5 1.280847 2.743524 0.5640233 0.4401304 0.9389374 0
5 1.281 2.743453 0.5640233 0.4401304 0.9389374 0
5 1.279319 2.753495 0.5583383 0.4988932 0.8696722 0
5 1.235114 2.651144 0.6915501 0.4988932 0.8696722 0
5 1.234955 2.650923 0.6915501 0.4985009 0.8696722 0
5 1.239858 2.596838 0.6704344 0.5207698 0.8762968 0
5 1.239858 2.596612 0.6704344 0.5203939 0.8762968 0
5 1.213214 2.59133 0.7242107 0.4751895 0.8182439 0
5 1.213214 2.591481 0.7242107 0.4756011 0.8182439 0
5 1.26625 2.707037 0.4912148 0.4489339 0.8031738 0
5 1.266405 2.707182 0.4912148 0.4489339 0.8031738 0
5 1.266096 2.707037 0.4912148 0.4489339 0.8031738 0
5 1.252577 2.739669 0.5545413 0.4747775 0.861752 0
5 1.252421 2.739526 0.5545413 0.4747775 0.861752 0
5 1.252889 2.73974 0.5545413 0.4751895 0.861752 0
5 1.255542 2.636856 0.5463765 0.4039677 0.8252971 0
5 1.255386 2.63693 0.5463765 0.403483 0.8252971 0
5 1.213375 2.614716 0.5885813 0.4392403 0.8532096 0
5 1.213214 2.614716 0.5885813 0.4392403 0.8532096 0
5 1.221893 2.637079 0.4876591 0.4168407 0.8883128 0
5 1.222053 2.63693 0.4876591 0.4177785 0.8883128 0
5 1.222053 2.637079 0.4876591 0.4182466 0.8883128 0
5 1.234955 2.581947 0.548562 0.4325065 0.8533568 0
5 1.234797 2.581719 0.548562 0.4329587 0.8533568 0
5 1.294978 2.723402 0.5164688 0.4401304 0.8076161 0
5 1.294676 2.723617 0.5164688 0.4401304 0.8076161 0
5 1.272571 2.634702 0.4489511 0.3951527 0.8744453 0
5 1.272571 2.634702 0.4489511 0.3956476 0.8744453 0
5 1.272571 2.634851 0.4489511 0.3951527 0.8744453 0
5 1.229556 2.590197 0.4858905 0.4261257 0.7943766 0
5 1.229397 2.590121 0.4858905 0.4261257 0.7943766 0
5 1.217883 2.593972 0.4846629 0.5315546 0.8463343 0
5 1.218043 2.593821 0.4846629 0.5311863 0.8463343 0
5 1.232576 2.65203 0.5436321 0.5377761 0.945978 0
5 1.232576 2.65203 0.5436321 0.5377761 0.945978 0
5 1.234004 2.634182 0.4949482 0.5753932 0.9188048 0
5 1.23337 2.634034 0.4949482 0.5743721 0.9188048 0
5 1.23337 2.634108 0.4949482 0.5743721 0.9188048 0
5 1.185807 2.566664 0.5645929 0.5928131 0.8070216 0
5 1.185642 2.566587 0.5645929 0.5924829 0.8070216 0
5 1.199589 2.540526 0.5239362 0.6084505 0.9480108 0
5 1.199752 2.540526 0.5239362 0.6084505 0.9480108 0
5 1.137116 2.408754 0.5688063 0.6422443 0.7597908 0
5 1.136772 2.408672 0.5688063 0.6416347 0.7597908 0
5 1.148077 2.453357 0.5295852 0.6061952 0.8550132 0
5 1.148418 2.453517 0.5295852 0.6065179 0.8550132 0
5 1.142438 2.453597 0.5295852 0.5848376 0.8777071 0
5 1.090381 2.342513 0.4975575 0.5855064 0.8777071 0
5 1.090201 2.342513 0.4975575 0.5848376 0.8777071 0
5 1.13125 2.447846 0.6192845 0.5977437 0.7961975 0
5 1.131077 2.447926 0.6192845 0.5974163 0.7961975 0
5 1.128306 2.476069 0.6294981 0.649214 0.9486995 0
5 1.128132 2.475911 0.6294981 0.6495153 0.9486995 0
5 1.19321 2.540141 0.6143583 0.6884183 0.8241301 0
5 1.193046 2.540141 0.6143583 0.6878495 0.8241301 0
5 1.185807 2.512247 0.6345276 0.6691033 0.7787253 0
5 1.185972 2.512247 0.6345276 0.6688108 0.7787253 0
5 1.185807 2.504287 0.5263975 0.6608641 0.8452305 0
5 1.185807 2.504287 0.5263975 0.6611602 0.8452305 0
5 1.154705 2.504365 0.5263975 0.6431577 0.8251903 0
5 1.186797 2.587021 0.614817 0.6434618 0.8251903 0
5 1.186962 2.587021 0.614817 0.6440698 0.8251903 0
5 1.22621 2.621968 0.5840577 0.6351982 0.8557935 0
5 1.226529 2.622117 0.5840577 0.6355062 0.8557935 0
5 1.273493 2.74024 0.5565847 0.6943616 0.795676 0
5 1.273646 2.740169 0.5565847 0.6946434 0.795676 0
5 1.230193 2.648633 0.6370398 0.6946434 0.795676 0
5 1.215792 2.648411 0.6370398 0.6884183 0.940645 0
5 1.215953 2.648485 0.6370398 0.6889865 0.940645 0
5 1.179851 2.600905 0.6372085 0.6909717 0.8940609 0
5 1.180017 2.601131 0.6372085 0.6906884 0.8940609 0
5 1.164493 2.574354 0.6402692 0.6581939 0.792599 0
5 1.164325 2.574354 0.6402692 0.6578966 0.792599 0
5 1.248195 2.716277 0.534407 0.5947903 0.8373797 0
5 1.248195 2.716277 0.534407 0.5951191 0.8373797 0
5 1.248352 2.716277 0.534407 0.5954478 0.8373797 0
5 1.232259 2.66021 0.5786248 0.5414024 0.8881125 0
5 1.231941 2.659916 0.5786248 0.5414024 0.8881125 0
5 1.18068 2.591481 0.6771067 0.5556712 0.7972264 0
5 1.180846 2.591632 0.6771067 0.5560232 0.7972264 0
5 1.211439 2.645009 0.5206417 0.5421248 0.8540221 0
5 1.2116 2.644935 0.5206417 0.5428462 0.8540221 0
5 1.179685 2.589592 0.576386 0.5439265 0.7630023 0
5 1.17952 2.589592 0.576386 0.5446455 0.7630023 0
5 1.179354 2.589441 0.576386 0.5435666 0.7630023 0
5 1.14944 2.538136 0.4855731 0.5355885 0.8060969 0
5 1.14978 2.538136 0.4855731 0.5366834 0.8060969 0
5 1.210307 2.567579 0.5307454 0.5252593 0.7694073 0
5 1.209984 2.567502 0.5307454 0.5248867 0.7694073 0
