FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 41.00341 0.3428215 1.659525 -2.483647 4.493883 310.2681 1.193234 0.5264339 0.5109467 0.5157623 0.5003189 -1 -1 -1 -1 0.8183269 1
2 1 41.03152 0.3429616 1.659572 -2.483634 4.494013 310.2396 1.189922 0.5259786 0.5107739 0.4989128 0.5260843 0.5111225 0.5837013 0.5224624 0.5854764 0.8327744 0
3 1 41.05713 0.3437774 1.65987 -2.483858 4.394583 310.3132 1.138866 0.5083448 0.5080625 0.4989128 0.5260843 0.5254054 0.5751601 -1 -1 0.9841347 0
4 1 41.06698 0.3440286 1.659865 -2.484037 4.365874 310.3096 1.136373 0.5059025 0.5078737 0.4989128 0.5260843 0.5273939 0.5740806 -1 -1 0.4843167 0
5 1 41.07362 0.3441045 1.659881 -2.484071 4.362215 310.2944 1.136944 0.5059025 0.5078737 0.4989128 0.5260843 -1 -1 -1 -1 0.4843167 0
6 1 41.08585 0.3441752 1.659883 -2.484107 4.359353 310.2879 1.139849 0.5059025 0.5078737 0.4989128 0.5260843 -1 -1 -1 -1 0.4843167 0
7 1 41.09573 0.3441925 1.659879 -2.484165 4.357655 310.2995 1.142776 0.5059025 0.5078737 0.4989128 0.5260843 -1 -1 -1 -1 0.4843167 0
8 1 41.10653 0.3442662 1.659874 -2.484195 4.343888 310.2951 1.131063 0.5059025 0.5078737 0.4989128 0.5260843 -1 -1 -1 -1 0.4843167 0
9 1 41.11903 0.3443462 1.659899 -2.484233 4.341735 310.2982 1.137049 0.5059025 0.5078737 0.4989128 0.5260843 -1 -1 -1 -1 0.4843167 0
10 1 41.13023 0.3445351 1.659903 -2.4843 4.326231 310.3011 1.129907 0.503065 0.5084282 0.490173 0.499707 0.5299517 0.5733331 0.5052122 0.6021804 0.7385 1
11 1 41.15247 0.3446514 1.659943 -2.484359 4.28723 310.3168 1.12551 0.503065 0.5084282 0.4912824 0.5005812 -1 -1 0.5066085 0.6020194 0.7385 1
12 1 41.16319 0.3447174 1.659943 -2.484364 4.265441 310.3324 1.117857 0.5011015 0.5089635 0.4912824 0.5005812 0.5317668 0.572911 -1 -1 0.931707 1
13 1 41.17371 0.3448297 1.659995 -2.484413 4.25793 310.326 1.115038 0.5011015 0.5089635 0.4912824 0.5005812 -1 -1 -1 -1 0.931707 1
14 1 41.18501 0.344886 1.660031 -2.484472 4.259808 310.3472 1.118304 0.5011015 0.5089635 0.4940086 0.5008591 -1 -1 0.5094059 0.6031674 0.931707 0.9025751
15 1 41.19771 0.3449401 1.660043 -2.484483 4.246635 310.339 1.124591 0.4988748 0.5079907 0.4959143 0.4936381 0.5332754 0.5713812 0.5088566 0.6100813 0.8337247 0.4801773
16 1 41.20793 0.3449977 1.660082 -2.484515 4.242318 310.3463 1.136014 0.4988748 0.5079907 0.4959143 0.4936381 -1 -1 -1 -1 0.8337247 0.4801773
17 1 41.21801 0.3450558 1.6601 -2.484526 4.2278 310.3459 1.152714 0.513337 0.4777414 0.5009176 0.4811749 0 1 0 1 0 0
18 1 41.22861 0.3450937 1.660134 -2.484462 4.219118 310.3445 1.163444 0.513337 0.4777414 0.5009176 0.4811749 -1 -1 -1 -1 0 0
19 1 41.24004 0.3451191 1.660162 -2.48444 4.217425 310.3371 1.141532 0.513337 0.4777414 0.5009176 0.4811749 0 1 0 1 0 0
