pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
1 14.29491 13.31957 0.6125858 15.43373 1 0
1 14.26196 13.31958 0.6125858 15.36923 1 0
1 14.26447 13.32686 0.6688376 15.36934 1 0
1 14.27327 13.32671 0.6688376 15.38223 1 0
1 14.25708 13.29745 0.7091799 15.38224 1 0
1 14.25704 13.29745 0.7091799 15.38218 1 0
1 14.2657 13.32286 0.7575831 15.37489 1 0
1 14.26565 13.32283 0.7575831 15.37485 1 0
1 14.33011 13.35817 0.6885731 15.46202 1 0
1 14.33013 13.35825 0.6885731 15.46204 1 0
1 14.33589 13.38717 0.6918275 15.44378 0.9830023 0
1 14.33582 13.38719 0.6918275 15.44374 0.9830023 0
1 14.34461 13.31939 0.631271 15.534 1 0
1 14.34465 13.31944 0.631271 15.53404 1 0
1 14.2882 13.29409 0.6248048 15.43699 1 0
1 14.28809 13.294 0.6248048 15.43689 1 0
1 14.29872 13.31241 0.7553304 15.4325 1 0
1 14.24079 13.29751 0.7131979 15.3289 1 0
1 14.24072 13.29745 0.7131979 15.32882 1 0
1 14.24062 13.29733 0.7131979 15.32875 1 0
1 14.24401 13.29783 0.6805214 15.33093 1 0
1 14.24411 13.29789 0.6805214 15.33102 1 0
1 14.24562 13.2936 0.6696131 15.33434 1 0
1 14.24568 13.29368 0.6696131 15.33438 1 0
1 14.29168 13.2955 0.5903565 15.41743 1 0
1 14.29182 13.29567 0.5903565 15.41758 1 0
1 13.38117 12.14958 0.5543711 14.72931 0.6021932 0
1 13.38115 12.1495 0.5543711 14.7293 0.6021932 0
1 14.43514 12.14963 0.5543711 16.79122 0 0
1 11.0783 5.563804 0.6432909 16.79123 0 0
1 11.07823 5.563734 0.6432909 16.79117 0 0
1 11.0782 5.563734 0.6432909 16.7911 0 0
1 2.451522 2.429225 0.8078387 2.566053 0.5331151 0
1 2.451602 2.429386 0.8078387 2.566206 0.5331151 0
1 17.50858 18.24602 0 16.79115 0 0
1 17.50859 18.24614 0 16.79122 0 0
1 17.50843 18.24595 0 16.79102 0 0
1 17.50861 18.24609 0 16.79123 0 0
1 14.42057 13.03157 0.9758682 16.79117 0 0
1 14.42073 13.03172 0.9758682 16.79125 0 0
1 17.50869 18.24621 0 16.79128 0 0
1 17.5086 18.24612 0 16.79124 0 0
1 17.50855 18.24604 0 16.79105 0 0
1 17.50868 18.24617 0 16.79117 0 0
1 3.79194 5.190974 0.640958 2.752499 0.5912312 0
1 3.791837 5.191012 0.640958 2.752357 0.5912312 0
1 3.727884 5.393432 0.495446 2.271072 0.7354594 0
1 3.727936 5.393468 0.495446 2.271072 0.7354594 0
1 3.455531 5.106991 0.488788 2.027868 0.6768587 0
1 3.455588 5.106953 0.488788 2.028061 0.6768587 0
1 3.457683 5.138125 0.314384 1.885333 0.8489408 0
1 3.45774 5.138088 0.314384 1.885333 0.8489408 0
1 3.527699 5.237309 0.2471836 1.870116 0.6608563 0
1 3.527755 5.237309 0.2471836 1.870011 0.6608563 0
1 3.539004 5.223147 0.2553997 1.872417 0.9266199 0
1 3.539059 5.223147 0.2553997 1.872626 0.9266199 0
1 3.572976 5.170892 0.3058347 1.987905 1 0
1 3.573031 5.170892 0.3058347 1.987905 1 0
1 2.433411 3.171632 0.4914549 2.123846 1 0
1 2.433331 3.17157 0.4914549 2.123846 1 0
1 2.396534 3.20821 0.4249248 2.115444 1 0
1 2.396534 3.20821 0.4249248 2.115536 1 0
1 2.311899 3.252933 0.377977 1.909571 1 0
1 2.311815 3.252813 0.377977 1.909571 1 0
1 7.278233 13.88061 0.4228834 1.249292 0.5963551 0
1 7.278152 13.88051 0.4228834 1.249448 0.5963551 0
1 17.50881 18.24627 0 16.7914 0 0
1 17.50863 18.24606 0 16.79112 0 0
1 17.5086 18.24612 0 16.79122 0 0
1 17.50855 18.24603 0 16.79112 0 0
