pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
13 14.93719 19.25987 0.3782024 12.31139 0.7589788 0
13 14.81144 18.93295 0.3888511 12.34081 0.6823627 0
13 14.81158 18.93313 0.3888511 12.3409 0.6823627 0
13 14.81154 18.93302 0.3888511 12.34089 0.6823627 0
13 14.98479 19.27041 0.3620872 12.30443 0.743017 0
13 14.98479 19.27046 0.3620872 12.30445 0.743017 0
13 15.1739 19.6693 0.2914944 12.23237 0.8357175 0
13 15.17405 19.66952 0.2914944 12.23243 0.8357175 0
13 15.19955 19.64569 0.3669291 12.25308 0.7908168 0
13 15.1995 19.64556 0.3669291 12.253 0.7908168 0
13 15.4225 20.02396 0.4122134 12.31116 0.7185254 0
13 15.42222 20.0237 0.4122134 12.31099 0.7185254 0
13 15.42244 20.02395 0.4122134 12.31111 0.7185254 0
13 15.26156 19.61197 0.3235133 12.40295 0.8181158 0
13 15.26158 19.61202 0.3235133 12.40299 0.8181158 0
13 15.11154 19.23289 0.2399629 12.50118 0.7723079 0
13 15.11152 19.23277 0.2399629 12.50118 0.7723079 0
13 15.33837 19.67845 0.3191664 12.49103 0.7945259 0
13 15.33825 19.67838 0.3191664 12.49099 0.7945259 0
13 15.37576 19.68206 0.295182 12.57997 0.7732639 0
13 15.37574 19.682 0.295182 12.57997 0.7732639 0
13 15.37578 19.68208 0.295182 12.58003 0.7732639 0
13 15.45963 19.86179 0.2828902 12.54149 0.8334428 0
13 15.45963 19.86177 0.2828902 12.54148 0.8334428 0
13 23.72018 16.17361 0.8534867 34.63915 0 0
13 23.72003 16.17344 0.8534867 34.63898 0 0
13 23.63171 15.99409 0.2120662 34.63921 0 0
13 23.63165 15.99409 0.2120662 34.63911 0 0
13 23.63153 15.9939 0.2120662 34.63899 0 0
13 10.64205 15.82555 0.2862837 5.435416 0.49012 0
13 10.64187 15.82539 0.2862837 5.435343 0.49012 0
13 10.64732 15.93879 0.2741498 5.298903 0.7697449 0
13 10.64731 15.93877 0.2741498 5.298829 0.7697449 0
13 10.6378 16.09916 0.3672122 5.115922 0.6913883 0
13 10.63778 16.09908 0.3672122 5.115884 0.6913883 0
13 10.68857 16.36085 0.2019574 4.952346 0.6000433 0
13 10.68865 16.36091 0.2019574 4.952386 0.6000433 0
13 10.68867 16.3609 0.2019574 4.952386 0.6000433 0
13 10.36563 16.13414 0.2637233 4.53868 0.765492 0
13 10.36584 16.13439 0.2637233 4.538939 0.765492 0
13 10.36576 16.13434 0.2637233 4.538896 0.765492 0
13 9.987551 15.52985 0.20157 4.395163 0.6636077 0
13 9.987551 15.52983 0.20157 4.395118 0.6636077 0
13 9.768694 15.22714 0.3301189 4.267281 0.5531104 0
13 9.768754 15.22714 0.3301189 4.26719 0.5531104 0
13 9.580885 15.01093 0.4958504 4.109087 0.7220712 0
13 9.580905 15.01095 0.4958504 4.109087 0.7220712 0
13 9.506424 14.91587 0.2297486 4.048059 0.7865047 0
13 9.506424 14.91579 0.2297486 4.048156 0.7865047 0
13 9.381419 14.77681 0.3199808 3.934525 0.8959303 0
13 9.381441 14.77678 0.3199808 3.934575 0.8959303 0
13 9.381398 14.77678 0.3199808 3.934575 0.8959303 0
13 9.269764 14.68617 0.3059031 3.800658 0.8060868 0
13 9.269721 14.68616 0.3059031 3.800554 0.8060868 0
13 9.107009 14.51047 0.3049354 3.65184 0.818395 0
13 9.10703 14.51042 0.3049354 3.65168 0.818395 0
13 9.159034 14.56879 0.2553669 3.693426 0.911584 0
13 9.159077 14.56883 0.2553669 3.693373 0.911584 0
13 9.134822 14.56168 0.1556079 3.663136 0.8642119 0
13 9.134715 14.5615 0.1556079 3.663029 0.8642119 0
13 9.134736 14.56159 0.1556079 3.662922 0.8642119 0
13 9.09105 14.44394 0.2444698 3.696023 0.8262622 0
13 9.090941 14.44381 0.2444698 3.69581 0.8262622 0
13 9.121627 14.5492 0.2327729 3.660944 0.7401534 0
13 9.121669 14.54924 0.2327729 3.660891 0.7401534 0
13 9.150877 14.53322 0.1956046 3.770034 0.7999481 0
13 9.150877 14.53326 0.1956046 3.770034 0.7999481 0
13 9.150899 14.53326 0.1956046 3.770086 0.7999481 0
13 9.252872 14.49726 0.1912883 3.976064 0.8832667 0
13 9.252894 14.4973 0.1912883 3.976163 0.8832667 0
13 9.215033 14.40406 0.2911116 3.976852 0.7750689 0
13 9.214841 14.40387 0.2911116 3.976704 0.7750689 0
13 9.245054 14.57727 0.2559906 3.845526 0.7253247 0
13 9.245032 14.57738 0.2559906 3.845526 0.7253247 0
13 7.6246 11.74236 0.6614311 3.864726 0.8811288 0
13 7.624832 11.74261 0.6614311 3.864928 0.8811288 0
13 7.656348 11.90887 0.5202435 3.867512 0.8018354 0
13 7.656245 11.90868 0.5202435 3.867461 0.8018354 0
13 7.656527 11.90903 0.5202435 3.867764 0.8018354 0
13 7.649808 11.84264 0.4546219 3.987769 0.7993417 0
13 7.649732 11.84255 0.4546219 3.987671 0.7993417 0
13 7.77915 11.99179 0.4760217 4.062113 1 0
13 7.779049 11.99174 0.4760217 4.062113 1 0
13 7.74732 11.94294 0.4744788 4.11266 0.8233567 0
13 7.747345 11.94299 0.4744788 4.112708 0.8233567 0
13 7.760432 12.10605 0.4748426 4.09553 0.8427999 0
13 7.760381 12.10597 0.4748426 4.095482 0.8427999 0
13 7.760432 12.10602 0.4748426 4.095625 0.8427999 0
13 7.484851 11.63647 0.3685266 4.082119 0.7932894 0
13 7.484931 11.63657 0.3685266 4.082119 0.7932894 0
