FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 7 576.4348 -0.7294089 1.677472 -2.214157 357.6678 172.8058 4.629332 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
2 7 576.4403 -0.7294248 1.677543 -2.214051 357.6394 172.8036 4.627274 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
3 7 576.4499 -0.7292804 1.677668 -2.21365 357.531 172.8333 4.594836 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
4 7 576.4672 -0.7292165 1.677714 -2.213502 357.5102 172.8241 4.611212 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
5 7 576.478 -0.7292253 1.677663 -2.213449 357.4994 172.8111 4.63289 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
6 7 576.4905 -0.7292045 1.677677 -2.213473 357.4792 172.8059 4.668788 0.455487 0.5054204 0.4485731 0.4959555 -1 -1 -1 -1 0.9511216 0.88819
7 7 576.5004 -0.7291663 1.677789 -2.213439 357.4655 172.8006 4.697567 0.4548033 0.5050159 0.4483978 0.4961134 0.6004207 0.5319847 0.4149151 0.3729017 0.886552 0.952752
8 7 576.5115 -0.7291224 1.677867 -2.213455 357.4359 172.7939 4.710316 0.4548033 0.5050159 0.4483978 0.4961134 -1 -1 -1 -1 0.886552 0.952752
9 7 576.5339 -0.7290208 1.677832 -2.213505 357.4534 172.8279 4.6001 0.4548033 0.5050159 0.4483978 0.4961134 -1 -1 -1 -1 0.886552 0.952752
10 7 576.5563 -0.7290276 1.677763 -2.213524 357.4907 172.8216 4.551324 0.4548448 0.5064138 0.4481909 0.4965921 0.6007776 0.5330297 0.414846 0.372441 0.9100915 0.9257325
11 7 576.5782 -0.7291025 1.677691 -2.213523 357.5244 172.826 4.583135 0.4548448 0.5064138 0.4481909 0.4965921 -1 -1 -1 -1 0.9100915 0.9257325
12 7 576.6011 -0.729093 1.677671 -2.213436 357.5439 172.8315 4.665939 0.4553544 0.5063066 0.4482795 0.4970779 0.600345 0.5331683 0.4150746 0.3720465 1 1
13 7 576.6229 -0.7290697 1.677554 -2.213344 357.5331 172.8332 4.652701 0.4553544 0.5063066 0.4482795 0.4970779 -1 -1 -1 -1 1 1
14 7 576.6451 -0.7290046 1.677531 -2.213313 357.5562 172.8561 4.612791 0.4549475 0.5066429 0.4480981 0.4969874 0.6007601 0.533242 0.4148667 0.3720799 0.9887158 0.9630889
15 7 576.6673 -0.7290043 1.677506 -2.213223 357.5733 172.8538 4.628688 0.4549475 0.5066429 0.4480981 0.4969874 -1 -1 -1 -1 0.9887158 0.9630889
16 7 576.6891 -0.7290348 1.677431 -2.213093 357.5985 172.8487 4.651556 0.4549475 0.5066429 0.4480981 0.4969874 -1 -1 -1 -1 0.9887158 0.9630889
17 7 576.7119 -0.7290242 1.677503 -2.213032 357.5905 172.846 4.634222 0.4555579 0.5077122 0.4479553 0.4974928 0.6005743 0.5342891 0.4148685 0.3716128 0.8903375 0.9823714
18 7 576.7336 -0.7290583 1.677591 -2.212857 357.5729 172.8626 4.592338 0.4555579 0.5077122 0.4479553 0.4974928 -1 -1 -1 -1 0.8903375 0.9823714
19 7 576.756 -0.7290478 1.677666 -2.212798 357.5277 172.8897 4.545846 0.4557333 0.5084761 0.4475971 0.4971574 0.6006469 0.5349265 0.4144128 0.371813 0.9429644 0.9795472
20 7 576.778 -0.7289957 1.677689 -2.212648 357.4949 172.8929 4.549659 0.4557333 0.5084761 0.4475971 0.4971574 -1 -1 -1 -1 0.9429644 0.9795472
21 7 576.8006 -0.729013 1.677781 -2.212389 357.465 172.9118 4.583231 0.4551666 0.5073107 0.4483032 0.4962582 0.6007724 0.5338268 0.4148622 0.3727545 0.8252454 0.9973053
22 7 576.8224 -0.7289799 1.677869 -2.212342 357.4477 172.9342 4.617052 0.4551666 0.5073107 0.4483032 0.4962582 -1 -1 -1 -1 0.8252454 0.9973053
23 7 576.8449 -0.7289054 1.677877 -2.212104 357.4365 172.9574 4.585956 0.4756022 0.5083768 0.3791071 0.4762645 0.5849032 0.5430809 0 1 0.99 0
24 7 576.8666 -0.7288475 1.677941 -2.211787 357.4554 172.9623 4.592635 0.4756022 0.5083768 0.3791071 0.4762645 -1 -1 -1 -1 0.99 0
25 7 576.8891 -0.7287959 1.677978 -2.211579 357.4323 172.9897 4.620403 -0.5348616 0.5854924 0.3791071 0.4762645 0.86755 0.9123904 0 1 0.4585413 0
26 7 576.9111 -0.7287471 1.677981 -2.211304 357.4262 173.0161 4.624887 -0.5348616 0.5854924 0.3791071 0.4762645 -1 -1 -1 -1 0.4585413 0
27 7 576.9336 -0.7286798 1.67805 -2.210907 357.3736 173.019 4.616378 0.5030555 0.5869186 0.3389413 0.3760519 0 1 0.2532718 0.4993148 0 0.7977533
28 7 576.9556 -0.7285887 1.678193 -2.210545 357.3448 173.0336 4.636517 0.5030555 0.5869186 0.3389413 0.3760519 -1 -1 -1 -1 0 0.7977533
29 7 576.978 -0.7285721 1.6783 -2.210115 357.3096 173.0414 4.640218 0.5030555 0.5869186 0.3791071 0.4762645 0 1 0 1 0 0
30 7 577.0002 -0.7284409 1.67832 -2.209663 357.2657 173.0443 4.663237 0.5030555 0.5869186 0.3791071 0.4762645 -1 -1 -1 -1 0 0
31 7 577.0229 -0.7283776 1.678477 -2.209255 357.1961 173.0615 4.644698 0.5136822 0.508032 0.3791071 0.4762645 0.5546433 0.5574181 0 1 0.99 0
32 7 577.045 -0.7283398 1.678652 -2.208766 357.1401 173.0756 4.628647 0.5136822 0.508032 0.5137082 0.4932094 -1 -1 0.4754574 0.3970274 0.99 0.99
33 7 577.0665 -0.7283447 1.678689 -2.208347 357.0636 173.071 4.601332 0.5136822 0.508032 0.5137082 0.4932094 -1 -1 -1 -1 0.99 0.99
34 7 577.0892 -0.7282672 1.678869 -2.208012 356.9926 173.1036 4.588566 0.5154503 0.5067791 0.5101354 0.4920726 0.552915 0.5571415 0.4718925 0.3965367 1 0.8851231
35 7 577.1111 -0.7282633 1.679038 -2.207534 356.9692 173.1202 4.55399 0.5154503 0.5067791 0.5101354 0.4920726 -1 -1 -1 -1 1 0.8851231
36 7 577.1337 -0.72826 1.679054 -2.207066 356.9338 173.1438 4.568946 0.5165614 0.5060973 0.5075333 0.4918807 0.5518563 0.5570441 0.4694935 0.3956583 0.8789178 1
37 7 577.1557 -0.7282082 1.679295 -2.206639 356.8832 173.1706 4.563234 0.5165614 0.5060973 0.5075333 0.4918807 -1 -1 -1 -1 0.8789178 1
38 7 577.1781 -0.7282205 1.679304 -2.206198 356.8477 173.1717 4.527799 0.5179637 0.5050963 0.5061358 0.4921192 0.5504838 0.5568168 0.4683128 0.3949023 1 0.9865083
39 7 577.2 -0.7281616 1.679238 -2.20573 356.8157 173.23 4.505144 0.5179637 0.5050963 0.5061358 0.4921192 -1 -1 -1 -1 1 0.9865083
40 7 577.2227 -0.7280685 1.679336 -2.205453 356.7866 173.2688 4.524062 0.5179539 0.5049583 0.5048117 0.4918406 0.5504559 0.5567117 0.4670283 0.3946199 1 0.9746757
