FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 910.3364 -0.04865606 1.47591 -2.768541 359.7085 107.9638 358.7423 0.4918616 0.5071433 0.4926343 0.499847 -1 -1 0.3689971 0.3224216 1 0.8283985
2 1 910.3415 -0.04838811 1.475941 -2.768481 359.6693 107.9317 358.77 0.4918616 0.5071433 0.4926343 0.499847 -1 -1 -1 -1 1 0.8283985
3 1 910.3483 -0.04750766 1.475832 -2.768151 359.4971 107.8102 358.8231 0.4918616 0.5071433 0.3802787 0.4804167 -1 -1 0 1 1 0
4 1 910.3651 -0.04693174 1.475803 -2.768041 359.4285 107.7787 358.8479 0.4918616 0.5071433 0.3802787 0.4804167 -1 -1 -1 -1 1 0
5 1 910.3753 -0.04669768 1.475811 -2.768018 359.3784 107.7598 358.8735 0.4918616 0.5071433 0.3802787 0.4804167 -1 -1 -1 -1 1 0
6 1 910.3866 -0.04652701 1.475915 -2.767919 359.3048 107.7611 358.8881 0.5910971 0.3830686 0.5129465 0.5502737 0 1 0.3768239 0.2870184 0 0.6401024
7 1 910.3973 -0.04637465 1.475933 -2.767859 359.2451 107.7648 358.9058 0.5910971 0.3830686 0.5129465 0.5502737 -1 -1 -1 -1 0 0.6401024
8 1 910.4084 -0.04606843 1.476019 -2.767853 359.1812 107.7692 358.9227 0.5910971 0.3830686 0.5129465 0.5502737 -1 -1 -1 -1 0 0.6401024
9 1 910.4199 -0.04582619 1.476101 -2.767805 359.1138 107.7781 358.9456 0.4835876 0.5459928 0.5121204 0.5493583 0.368632 0.7596435 0.3752009 0.2873872 1 0.507105
10 1 910.4307 -0.04555453 1.476095 -2.767755 359.042 107.7937 358.9618 0.4835876 0.5459928 0.5121204 0.5493583 -1 -1 -1 -1 1 0.507105
11 1 910.4422 -0.04532007 1.476096 -2.767691 359.0044 107.8018 358.992 0.4835876 0.5459928 0.5121204 0.5493583 -1 -1 -1 -1 1 0.507105
12 1 910.4536 -0.0450154 1.476062 -2.76765 358.9689 107.8144 359.0164 0.4841237 0.5459996 0.5111237 0.5484097 0.3676283 0.7599707 0.3733107 0.2877069 1 0.7318096
13 1 910.4639 -0.04460794 1.476098 -2.767643 358.9429 107.8248 359.0433 0.4841237 0.5459996 0.5111237 0.5484097 -1 -1 -1 -1 1 0.7318096
14 1 910.4751 -0.04435215 1.476105 -2.767669 358.9136 107.8286 359.061 0.4841237 0.5459996 0.5111237 0.5484097 -1 -1 -1 -1 1 0.7318096
15 1 910.4865 -0.04407615 1.476172 -2.76761 358.8961 107.8399 359.0748 0.4831057 0.544947 0.5090366 0.5471851 0.3677506 0.7585862 0.3696584 0.2877547 1 0.3274633
16 1 910.4976 -0.0437142 1.476223 -2.76755 358.8677 107.843 359.0618 0.4831057 0.544947 0.5090366 0.5471851 -1 -1 -1 -1 1 0.3274633
17 1 910.5084 -0.04348549 1.476212 -2.767447 358.8299 107.8519 359.059 0.4831057 0.544947 0.5090366 0.5471851 -1 -1 -1 -1 1 0.3274633
18 1 910.5201 -0.04318035 1.476196 -2.76737 358.8063 107.8455 359.056 0.5910971 0.3830686 0.3802787 0.4804167 0 1 0 1 0 0
19 1 910.5308 -0.04290554 1.47617 -2.767258 358.7766 107.8499 359.0765 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
20 1 910.5419 -0.04269869 1.476094 -2.767146 358.7618 107.8298 359.087 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
21 1 910.553 -0.04238885 1.476032 -2.767037 358.7606 107.8211 359.1124 0.4683501 0.5343619 0.4924647 0.535656 0.3775522 0.742111 0.342235 0.2899018 0.99 0.5566094
22 1 910.564 -0.04218267 1.476003 -2.76688 358.7468 107.8016 359.1591 0.4683501 0.5343619 0.4924647 0.535656 -1 -1 -1 -1 0.99 0.5566094
23 1 910.5755 -0.04193963 1.475969 -2.766628 358.7396 107.7739 359.196 0.4671446 0.5332765 0.4924647 0.535656 0.378017 0.7406102 -1 -1 1 0.5566094
24 1 910.5862 -0.04164614 1.475935 -2.766468 358.7314 107.7524 359.2269 0.4669417 0.5329322 0.4918002 0.5349659 0.37785 0.7402343 0.341128 0.2901911 1 0.44787
25 1 910.5971 -0.04135046 1.475912 -2.766287 358.7249 107.7331 359.2669 0.4669417 0.5329322 0.4918002 0.5349659 -1 -1 -1 -1 1 0.44787
26 1 910.6093 -0.0410689 1.475886 -2.76612 358.716 107.6993 359.2969 0.4669092 0.5326423 0.4906489 0.5350817 0.3774686 0.7399947 0.3396532 0.289578 1 0.7118965
27 1 910.6194 -0.04077714 1.475763 -2.765952 358.6954 107.6731 359.3445 0.4669092 0.5326423 0.4906489 0.5350817 -1 -1 -1 -1 1 0.7118965
28 1 910.6312 -0.04056276 1.475724 -2.76575 358.681 107.638 359.3742 0.4669092 0.5326423 0.4906489 0.5350817 -1 -1 -1 -1 1 0.7118965
29 1 910.6418 -0.04034 1.475757 -2.765632 358.6675 107.62 359.3923 0.4661043 0.5322732 0.4909204 0.5338057 0.3783231 0.7392652 0.3395874 0.2907864 1 0.7996093
30 1 910.6532 -0.04019261 1.475788 -2.765393 358.6388 107.5853 359.4032 0.4661043 0.5322732 0.4909204 0.5338057 -1 -1 -1 -1 1 0.7996093
31 1 910.6638 -0.04010575 1.475735 -2.765133 358.6131 107.5662 359.4193 0.4661043 0.5322732 0.4909204 0.5338057 -1 -1 -1 -1 1 0.7996093
32 1 910.6757 -0.03995527 1.475712 -2.764825 358.5907 107.5423 359.4429 0.4632787 0.5289953 0.4909204 0.5338057 0.3783935 0.7351896 -1 -1 0.7835536 0.7996093
33 1 910.6862 -0.03983703 1.47572 -2.764554 358.5757 107.5168 359.4651 0.4632787 0.5289953 0.4909204 0.5338057 -1 -1 -1 -1 0.7835536 0.7996093
34 1 910.6979 -0.03986194 1.475642 -2.764247 358.563 107.4779 359.4947 0.5910971 0.3830686 0.3802787 0.4804167 0 1 0 1 0 0
35 1 910.7084 -0.0398028 1.475604 -2.763904 358.5616 107.4734 359.5331 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 0 1 0 0
36 1 910.7195 -0.03977408 1.475592 -2.763603 358.5589 107.4366 359.5664 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
37 1 910.7308 -0.03978552 1.475518 -2.763267 358.5546 107.4287 359.6024 0.547798 0.3772582 0.3802787 0.4804167 0.2429954 0.6350513 0 1 0.7310591 0
38 1 910.7417 -0.03972595 1.475499 -2.762957 358.5433 107.4075 359.6339 0.547798 0.3772582 0.3802787 0.4804167 -1 -1 -1 -1 0.7310591 0
39 1 910.7526 -0.03972905 1.47549 -2.762605 358.5258 107.3909 359.665 0.547798 0.3772582 0.3802787 0.4804167 -1 -1 -1 -1 0.7310591 0
40 1 910.7642 -0.03977098 1.475431 -2.762254 358.4985 107.3707 359.6908 0.7902783 0.3001019 0.3802787 0.4804167 0.04648969 0.6992012 0 1 0.4974897 0
41 1 910.7747 -0.03988376 1.475352 -2.761924 358.4838 107.3451 359.7077 0.7902783 0.3001019 0.3802787 0.4804167 -1 -1 -1 -1 0.4974897 0
42 1 910.7862 -0.03995225 1.475319 -2.76158 358.466 107.3091 359.7297 0.7902783 0.3001019 0.3802787 0.4804167 -1 -1 -1 -1 0.4974897 0
43 1 910.7977 -0.04005359 1.475228 -2.761162 358.4498 107.3014 359.7495 0.5910971 0.3830686 0.3802787 0.4804167 0 1 0 1 0 0
44 1 910.808 -0.04015692 1.475161 -2.760809 358.4448 107.2783 359.7429 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
45 1 910.8193 -0.0402197 1.475061 -2.760456 358.4341 107.2425 359.752 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
46 1 910.8331 -0.0402883 1.474949 -2.760058 358.4358 107.2267 359.7624 0.5910971 0.3830686 0.3802787 0.4804167 0 1 -1 -1 0 0
47 1 910.8414 -0.04040477 1.474831 -2.759681 358.4532 107.1897 359.7523 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
48 1 910.8536 -0.04054815 1.474651 -2.75928 358.4839 107.168 359.7612 0.4818245 0.5326769 0.5271808 0.5189803 0.3524341 0.7485756 0.389444 0.3206745 0.9429333 0
49 1 910.8641 -0.04079134 1.474487 -2.758832 358.5329 107.1597 359.7759 0.4818245 0.5326769 0.5271808 0.5189803 -1 -1 -1 -1 0.9429333 0
50 1 910.8748 -0.04106854 1.47423 -2.758375 358.5738 107.1223 359.7785 0.4818245 0.5326769 0.5271808 0.5189803 -1 -1 -1 -1 0.9429333 0
51 1 910.8864 -0.04131284 1.474102 -2.757914 358.6406 107.1148 359.7939 0.4831799 0.5324085 0.5248507 0.5183085 0.3499233 0.7491738 0.3851085 0.320105 1 0.8782094
52 1 910.8975 -0.04165101 1.473861 -2.75748 358.7156 107.082 359.7934 0.4831799 0.5324085 0.5248507 0.5183085 -1 -1 -1 -1 1 0.8782094
53 1 910.908 -0.04193074 1.473622 -2.757044 358.8163 107.0525 359.804 0.4831799 0.5324085 0.5248507 0.5183085 -1 -1 -1 -1 1 0.8782094
54 1 910.9195 -0.04229146 1.473472 -2.756568 358.9246 107.0441 359.7946 0.4843467 0.5332364 0.5239552 0.518791 0.3490306 0.7505097 0.3837611 0.3192277 1 0.9803165
55 1 910.931 -0.04246835 1.47325 -2.756168 359.0274 107.0082 359.7989 0.4843467 0.5332364 0.5239552 0.518791 -1 -1 -1 -1 1 0.9803165
56 1 910.9413 -0.04280607 1.473001 -2.755663 359.1444 106.9816 359.7952 0.4843467 0.5332364 0.5239552 0.518791 -1 -1 -1 -1 1 0.9803165
57 1 910.9529 -0.04307735 1.472728 -2.755254 359.2597 106.95 359.7975 0.4851883 0.5337223 0.5236597 0.5194956 0.3482529 0.7513896 0.3835329 0.3184521 1 0.9569166
58 1 910.9637 -0.04332783 1.472482 -2.754801 359.3663 106.9243 359.7809 0.4851883 0.5337223 0.5236597 0.5194956 -1 -1 -1 -1 1 0.9569166
59 1 910.9757 -0.04362367 1.472211 -2.754332 359.4772 106.8971 359.7545 0.4861742 0.535095 0.5236597 0.5194956 0.348312 0.7530386 -1 -1 1 0.9569166
60 1 910.9865 -0.04394387 1.471929 -2.753856 359.5823 106.8528 359.7386 0.4861742 0.535095 0.5228947 0.5219714 -1 -1 0.3831921 0.3158744 1 0.7532516
61 1 910.9979 -0.04421582 1.471678 -2.753375 359.7088 106.8093 359.7199 0.4861742 0.535095 0.5228947 0.5219714 -1 -1 -1 -1 1 0.7532516
62 1 911.0108 -0.04456304 1.471424 -2.752946 359.841 106.7673 359.737 0.4878039 0.5374713 0.5227181 0.5236497 0.348591 0.7558428 0.3835385 0.3143049 1 0.7870736
63 1 911.0225 -0.04491663 1.47123 -2.752439 359.9886 106.7095 359.7633 0.4878039 0.5374713 0.5227181 0.5236497 -1 -1 -1 -1 1 0.7870736
64 1 911.0352 -0.04521169 1.470992 -2.751922 0.1369823 106.6547 359.7957 0.4878039 0.5374713 0.5227181 0.5236497 -1 -1 -1 -1 1 0.7870736
65 1 911.0471 -0.04559599 1.470724 -2.751355 0.292882 106.5783 359.8328 0.488199 0.5380197 0.5226908 0.5254695 0.3486336 0.7565008 0.3841901 0.3126914 1 0.8341771
66 1 911.0583 -0.04602579 1.470575 -2.750765 0.4473272 106.5071 359.8836 0.488199 0.5380197 0.5226908 0.5254695 -1 -1 -1 -1 1 0.8341771
67 1 911.0692 -0.04640834 1.470366 -2.750248 0.6043971 106.4234 359.9408 0.488199 0.5380197 0.5227427 0.5271199 -1 -1 0.3849092 0.3112723 1 0.8509532
68 1 911.0801 -0.04680984 1.470163 -2.749772 0.759365 106.338 0.004230233 0.488476 0.5386539 0.5227427 0.5271199 0.3489883 0.7571508 -1 -1 1 0.8509532
69 1 911.0911 -0.04707181 1.469994 -2.749283 0.9123501 106.2516 0.06260855 0.488476 0.5386539 0.5227427 0.5271199 -1 -1 -1 -1 1 0.8509532
70 1 911.1025 -0.04749712 1.469682 -2.748736 1.050452 106.1638 0.1274874 0.4869673 0.536976 0.5229431 0.5277505 0.3493488 0.7549558 0.3854943 0.3108202 0.8144135 0.9550531
71 1 911.1133 -0.04785402 1.469443 -2.748272 1.200298 106.0619 0.1801675 0.4869673 0.536976 0.5229431 0.5277505 -1 -1 -1 -1 0.8144135 0.9550531
72 1 911.1248 -0.04805117 1.46918 -2.747808 1.362768 105.9621 0.2299276 0.4869673 0.536976 0.5229431 0.5277505 -1 -1 -1 -1 0.8144135 0.9550531
73 1 911.1362 -0.0483781 1.468937 -2.747319 1.505237 105.8424 0.2510428 0.5910971 0.3830686 0.499961 0.5082223 0 1 0.3429764 0.3174197 0 0
74 1 911.1469 -0.04874054 1.468723 -2.746925 1.647029 105.7174 0.2833047 0.5910971 0.3830686 0.499961 0.5082223 -1 -1 -1 -1 0 0
75 1 911.1577 -0.0491321 1.468598 -2.746411 1.766869 105.587 0.3222852 0.5910971 0.3830686 0.499961 0.5082223 -1 -1 -1 -1 0 0
76 1 911.1691 -0.04949901 1.468373 -2.745891 1.897465 105.4565 0.3747171 0.5910971 0.3830686 0.4986526 0.5052854 0 1 0.3401111 0.3195152 0 0.4361541
77 1 911.1802 -0.04987439 1.46813 -2.745436 2.014909 105.2994 0.4266454 0.5910971 0.3830686 0.4986526 0.5052854 -1 -1 -1 -1 0 0.4361541
78 1 911.1912 -0.05010168 1.467901 -2.744986 2.163144 105.1413 0.4691624 0.5910971 0.3830686 0.4986526 0.5052854 -1 -1 -1 -1 0 0.4361541
79 1 911.2023 -0.05039124 1.467707 -2.744499 2.322155 104.9637 0.5126393 0.4590563 0.5124941 0.4990677 0.5042853 0.365281 0.7199311 0.3403201 0.3206247 1 0.7339142
80 1 911.2133 -0.05071258 1.467459 -2.743946 2.472777 104.7737 0.5481317 0.4590563 0.5124941 0.4990677 0.5042853 -1 -1 -1 -1 1 0.7339142
81 1 911.2244 -0.05100387 1.467184 -2.743417 2.636311 104.5523 0.5879228 0.4590563 0.5124941 0.4990677 0.5042853 -1 -1 -1 -1 1 0.7339142
82 1 911.2361 -0.05133284 1.466896 -2.742856 2.812497 104.3248 0.6412719 0.4602941 0.5132506 0.5001653 0.5047603 0.3642159 0.7211944 0.3420096 0.3206866 1 0.8594394
83 1 911.2468 -0.05166166 1.466614 -2.742268 2.998548 104.0656 0.7151517 0.4602941 0.5132506 0.5001653 0.5047603 -1 -1 -1 -1 1 0.8594394
84 1 911.2577 -0.052001 1.466364 -2.741672 3.187384 103.7864 0.8130651 0.4602941 0.5132506 0.5001653 0.5047603 -1 -1 -1 -1 1 0.8594394
85 1 911.2692 -0.05228524 1.466065 -2.741086 3.390022 103.4725 0.899969 0.4612319 0.5141476 0.5016516 0.506258 0.363736 0.722413 0.3446277 0.3199884 1 0.8442114
86 1 911.28 -0.05262515 1.465759 -2.740496 3.609923 103.1253 1.027392 0.4612319 0.5141476 0.5016516 0.506258 -1 -1 -1 -1 1 0.8442114
87 1 911.2913 -0.05291131 1.465466 -2.739822 3.85036 102.767 1.141804 0.4624332 0.5143538 0.5016516 0.506258 0.3621634 0.7232215 -1 -1 1 0.8442114
88 1 911.3025 -0.05322623 1.465084 -2.73906 4.104112 102.3545 1.265668 0.4624332 0.5143538 0.5035141 0.5064512 -1 -1 0.3473308 0.3206653 1 0.6316212
89 1 911.3133 -0.05355231 1.464709 -2.738345 4.356913 101.9129 1.417794 0.4624332 0.5143538 0.5035141 0.5064512 -1 -1 -1 -1 1 0.6316212
90 1 911.3245 -0.05380419 1.464374 -2.7375 4.640078 101.4119 1.591551 0.4624332 0.5143538 0.5035141 0.5064512 -1 -1 -1 -1 1 0.6316212
91 1 911.336 -0.05409015 1.463969 -2.736609 4.924186 100.8707 1.776776 0.431435 0.4837638 0.3802787 0.4804167 0.3783711 0.6828339 0 1 0.4276686 0
92 1 911.3467 -0.05440793 1.463549 -2.73562 5.228682 100.2679 1.964542 0.431435 0.4837638 0.3802787 0.4804167 -1 -1 -1 -1 0.4276686 0
93 1 911.3578 -0.05464416 1.46306 -2.734635 5.529125 99.60098 2.160706 0.431435 0.4837638 0.3802787 0.4804167 -1 -1 -1 -1 0.4276686 0
94 1 911.3692 -0.05483226 1.462677 -2.733648 5.834826 98.91093 2.340525 0.5910971 0.3830686 0.3802787 0.4804167 0 1 0 1 0 0
95 1 911.38 -0.05519795 1.462224 -2.732562 6.122277 98.1721 2.506345 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
96 1 911.3913 -0.0555317 1.461859 -2.731472 6.38572 97.4399 2.685055 0.5910971 0.3830686 0.3802787 0.4804167 -1 -1 -1 -1 0 0
97 1 911.4022 -0.05583162 1.461455 -2.73035 6.650452 96.65793 2.85418 0.3359198 0.3983572 0.3802787 0.4804167 0.4379385 0.5754769 0 1 0.6475353 0
98 1 911.4133 -0.05619313 1.461034 -2.729189 6.884078 95.87809 3.018613 0.3359198 0.3983572 0.3802787 0.4804167 -1 -1 -1 -1 0.6475353 0
99 1 911.4243 -0.05651101 1.460615 -2.728051 7.098066 95.07778 3.167166 0.3359198 0.3983572 0.3802787 0.4804167 -1 -1 -1 -1 0.6475353 0
100 1 911.4391 -0.05673004 1.460269 -2.726944 7.32415 94.23863 3.304515 0.5910971 0.3830686 0.368758 0.4493941 0 1 0.1894852 0.3195828 0 0.7876221
101 1 911.4465 -0.05715677 1.45986 -2.725789 7.552102 93.40243 3.420075 0.5910971 0.3830686 0.368758 0.4493941 -1 -1 -1 -1 0 0.7876221
102 1 911.4583 -0.05753975 1.459521 -2.724575 7.79726 92.54833 3.513894 0.3066707 0.4163124 0.3489006 0.4417275 0.4812422 0.5768842 0.1715643 0.3195333 0.7681012 0.3266663
103 1 911.47 -0.05799883 1.459069 -2.72336 8.034554 91.67924 3.574115 0.3066707 0.4163124 0.3489006 0.4417275 -1 -1 -1 -1 0.7681012 0.3266663
104 1 911.4798 -0.05853576 1.458633 -2.722121 8.279077 90.76893 3.619813 0.3066707 0.4163124 0.3489006 0.4417275 -1 -1 -1 -1 0.7681012 0.3266663
